name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Love Honey,Lost Forty Brewing,"Arkansas, United States",BockRanked #28,Bock,Ranked #28, 6.3%,"86Ranked #18,336",86,"Ranked #18,336",3.84 | pDev: 10.94%,3.84,10.94%,24,96,Active,"Apr 29, 2015"
Der Schwarze Bock,Kraftbierwerkstatt,Germany,BockRanked #29,Bock,Ranked #29, 6.2%,"86Ranked #18,311",86,"Ranked #18,311",3.84 | pDev: 7.03%,3.84,7.03%,37,80,Active,"Dec 07, 2019"
Texas style Bock,Community Beer Company,"Texas, United States",BockRanked #30,Bock,Ranked #30, 6%,"88Ranked #15,338",88,"Ranked #15,338",3.92 | pDev: 8.93%,3.92,8.93%,4,13,Active,"Feb 12, 2022"
Urbock,Feldschlößchen,Germany,BockRanked #31,Bock,Ranked #31, 7%,"87Ranked #18,034",87,"Ranked #18,034",3.84 | pDev: 8.85%,3.84,8.85%,17,35,Active,"Jan 25, 2017"
Bock,Bull Falls Brewery,"Wisconsin, United States",BockRanked #32,Bock,Ranked #32, 7.2%,"87Ranked #17,546",87,"Ranked #17,546",3.85 | pDev: 10.65%,3.85,10.65%,10,26,Active,"Apr 04, 2008"
Ramstein Summer Bock,High Point Brewing Company,"New Jersey, United States",BockRanked #33,Bock,Ranked #33, 7%,"87Ranked #16,709",87,"Ranked #16,709",3.87 | pDev: 10.08%,3.87,10.08%,3,13,Active,"Jul 24, 2014"
Bibock,Birrificio Italiano,Italy,BockRanked #34,Bock,Ranked #34, 6.2%,"86Ranked #18,217",86,"Ranked #18,217",3.83 | pDev: 10.97%,3.83,10.97%,13,25,Active,"Jun 12, 2005"
Dunkler Bock,Privatbrauerei Gessner,Germany,BockRanked #35,Bock,Ranked #35, 6.8%,"87Ranked #16,559",87,"Ranked #16,559",3.87 | pDev: 8.79%,3.87,8.79%,5,10,Active,"May 29, 2008"
Reutberger Josefi Bock,Klosterbrauerei Reutberg,Germany,BockRanked #36,Bock,Ranked #36, 6.9%,"86Ranked #19,003",86,"Ranked #19,003",3.81 | pDev: 8.4%,3.81,8.4%,19,30,Active,"Aug 18, 2004"
Bokbier,Jopen Bier BV Haarlem,Netherlands,BockRanked #37,Bock,Ranked #37, 6.5%,"86Ranked #20,279",86,"Ranked #20,279",3.79 | pDev: 11.08%,3.79,11.08%,54,82,Active,"Aug 07, 2003"
Back Forty Bock,New Glarus Brewing Company,"Wisconsin, United States",BockRanked #38,Bock,Ranked #38, 5.5%,"85Ranked #20,998",85,"Ranked #20,998",3.78 | pDev: 12.7%,3.78,12.7%,149,546,Active,"Oct 16, 2010"
Niner Bock,Roosters Brewing Company and Restaurant,"Utah, United States",BockRanked #39,Bock,Ranked #39, 9%,"86Ranked #18,250",86,"Ranked #18,250",3.82 | pDev: 5.24%,3.82,5.24%,6,17,Active,"Apr 21, 2013"
BockBREAKER,Broken Bow Brewery,"New York, United States",BockRanked #40,Bock,Ranked #40, 6.5%,"86Ranked #18,239",86,"Ranked #18,239",3.81 | pDev: 11.55%,3.81,11.55%,5,12,Active,"Feb 01, 2015"
Samson Bock,První Budějovický Pivovar Samson,Czechia,BockRanked #41,Bock,Ranked #41, 6.1%,"87Ranked #18,044",87,"Ranked #18,044",3.81 | pDev: 7.61%,3.81,7.61%,5,10,Active,"Oct 18, 2021"
Chouffe-Bok 6666,Brasserie d'Achouffe,Belgium,BockRanked #42,Bock,Ranked #42, 6.66%,"85Ranked #21,268",85,"Ranked #21,268",3.76 | pDev: 14.63%,3.76,14.63%,34,74,Active,"Jun 24, 2001"
Ice Boom Bock,Resurgence Brewing Company,"New York, United States",BockRanked #43,Bock,Ranked #43, 7%,"86Ranked #19,482",86,"Ranked #19,482",3.78 | pDev: 5.56%,3.78,5.56%,6,18,Active,"Feb 15, 2015"
Bodacious Bock,Wildwood Brewery,"Montana, United States",BockRanked #44,Bock,Ranked #44, 7.5%,"86Ranked #19,531",86,"Ranked #19,531",3.77 | pDev: 17.51%,3.77,17.51%,6,15,Active,"Apr 03, 2013"
Knuckle Bock,Texas Leaguer Brewing Company,"Texas, United States",BockRanked #45,Bock,Ranked #45, 6.5%,"85Ranked #20,927",85,"Ranked #20,927",3.75 | pDev: 10.13%,3.75,10.13%,9,32,Active,"Feb 22, 2016"
Bockslider Toadies Texas Bock,Martin House Brewing Company,"Texas, United States",BockRanked #46,Bock,Ranked #46, 5.6%,"85Ranked #22,017",85,"Ranked #22,017",3.74 | pDev: 12.3%,3.74,12.3%,23,97,Active,"May 09, 2015"
Mönchshof Bockbier,Kulmbacher Brauerei AG,Germany,BockRanked #47,Bock,Ranked #47, 6.9%,"85Ranked #21,913",85,"Ranked #21,913",3.74 | pDev: 10.7%,3.74,10.7%,42,79,Active,"Oct 05, 2003"
Stolichno Bock,Zagorka Brewery / Pivovaren Zavod Zagorka,Bulgaria,BockRanked #48,Bock,Ranked #48, 6.5%,"85Ranked #20,517",85,"Ranked #20,517",3.75 | pDev: 13.87%,3.75,13.87%,7,22,Active,"Dec 21, 2008"
Ur-Bock Dunkel,Einbecker Brauhaus,Germany,BockRanked #49,Bock,Ranked #49, 6.5%,"84Ranked #22,617",84,"Ranked #22,617",3.73 | pDev: 11.53%,3.73,11.53%,204,331,Active,"Jun 15, 2002"
Hill Country Bock Beer,Real Ale Brewing Company,"Texas, United States",BockRanked #50,Bock,Ranked #50, 4.9%,"86Ranked #19,904",86,"Ranked #19,904",3.75 | pDev: 7.47%,3.75,7.47%,5,14,Active,"Jan 14, 2023"
Colorado Native Winterfest,AC Golden Brewing Company,"Colorado, United States",BockRanked #51,Bock,Ranked #51, 7%,"86Ranked #19,685",86,"Ranked #19,685",3.75 | pDev: 9.33%,3.75,9.33%,6,12,Active,"Dec 12, 2015"
Jabalí Bock,Cerveceria Primus,Mexico,BockRanked #52,Bock,Ranked #52, 6%,"85Ranked #20,602",85,"Ranked #20,602",3.72 | pDev: 11.83%,3.72,11.83%,3,14,Active,"Nov 06, 2015"
Billy Jenkins Session Bock,Wild Acre Brewing Company,"Texas, United States",BockRanked #53,Bock,Ranked #53, 5.2%,"84Ranked #22,553",84,"Ranked #22,553",3.71 | pDev: 12.13%,3.71,12.13%,14,58,Active,"Aug 03, 2016"
Dreher Bak,Dreher Brewery,Hungary,BockRanked #54,Bock,Ranked #54, 7.3%,"84Ranked #22,540",84,"Ranked #22,540",3.71 | pDev: 12.4%,3.71,12.4%,34,57,Active,"Apr 15, 2003"
Winter Lager,Prost Brewing Co. - Denver,"Colorado, United States",BockRanked #55,Bock,Ranked #55, 6%,"85Ranked #21,302",85,"Ranked #21,302",3.69 | pDev: 7.59%,3.69,7.59%,6,14,Active,"Nov 19, 2021"
Birra Dolomiti Rossa Doppio Malto,Birreria Pedavena,Italy,BockRanked #56,Bock,Ranked #56, 6.7%,"85Ranked #21,426",85,"Ranked #21,426",3.69 | pDev: 6.78%,3.69,6.78%,5,15,Active,"Jul 20, 2016"
Brecken Bock,State of Brewing,"Wisconsin, United States",BockRanked #57,Bock,Ranked #57, 4.5%,"84Ranked #22,577",84,"Ranked #22,577",3.69 | pDev: 13.01%,3.69,13.01%,15,34,Active,"Jul 03, 2020"
Blizzard Bock,Flying Bison Brewing Company,"New York, United States",BockRanked #58,Bock,Ranked #58, 6.5%,"84Ranked #23,167",84,"Ranked #23,167",3.68 | pDev: 13.04%,3.68,13.04%,16,50,Active,"Nov 05, 2006"
Original Stieglbock,Stieglbrauerei zu Salzburg GmbH,Austria,BockRanked #59,Bock,Ranked #59, 7%,"84Ranked #23,515",84,"Ranked #23,515",3.67 | pDev: 13.62%,3.67,13.62%,37,60,Active,"Aug 05, 2002"
Creemore Springs UrBock,Creemore Springs Brewery Limited,"Ontario, Canada",BockRanked #60,Bock,Ranked #60, 6%,"83Ranked #24,236",83,"Ranked #24,236",3.66 | pDev: 10.66%,3.66,10.66%,95,167,Active,"Dec 10, 2001"
Dinkel Bock,Apostelbräu,Germany,BockRanked #61,Bock,Ranked #61, 6.8%,"83Ranked #23,793",83,"Ranked #23,793",3.65 | pDev: 13.15%,3.65,13.15%,21,48,Active,"Sep 16, 2012"
Blackbock,vandeStreek Bier,Netherlands,BockRanked #62,Bock,Ranked #62, 6%,"84Ranked #22,320",84,"Ranked #22,320",3.62 | pDev: 6.08%,3.62,6.08%,2,12,Active,"Oct 18, 2015"
Berliner Kindl Bock Dunkel,Berliner Kindl Brauerei,Germany,BockRanked #63,Bock,Ranked #63, 7%,"84Ranked #23,443",84,"Ranked #23,443",3.64 | pDev: 12.64%,3.64,12.64%,13,29,Active,"Mar 29, 2006"
IJBok,Brouwerij 't IJ,Netherlands,BockRanked #64,Bock,Ranked #64, 6.5%,"83Ranked #23,685",83,"Ranked #23,685",3.64 | pDev: 11.26%,3.64,11.26%,10,35,Active,"Mar 01, 2005"
Sherman Bock,903 Brewers,"Texas, United States",BockRanked #65,Bock,Ranked #65, 7.1%,"84Ranked #23,086",84,"Ranked #23,086",3.63 | pDev: 16.53%,3.63,16.53%,10,20,Active,"Oct 18, 2019"
Samuel Adams Winter Lager,Boston Beer Company (Samuel Adams),"Massachusetts, United States",BockRanked #66,Bock,Ranked #66, 5.6%,"83Ranked #24,553",83,"Ranked #24,553",3.65 | pDev: 10.96%,3.65,10.96%,105,249,Active,"Nov 29, 2020"
Toasted Bock,Jacob Leinenkugel Brewing Company,"Wisconsin, United States",BockRanked #67,Bock,Ranked #67, 5.1%,"83Ranked #24,580",83,"Ranked #24,580",3.64 | pDev: 11.81%,3.64,11.81%,59,130,Active,"Sep 12, 2020"
Aero-Head Bock,Appalachian Brewing Company,"Pennsylvania, United States",BockRanked #68,Bock,Ranked #68, 7%,"83Ranked #24,127",83,"Ranked #24,127",3.63 | pDev: 9.09%,3.63,9.09%,11,45,Active,"Feb 08, 2015"
Spring Bock,Saint Arnold Brewing Company,"Texas, United States",BockRanked #69,Bock,Ranked #69, 6.9%,"82Ranked #24,815",82,"Ranked #24,815",3.64 | pDev: 12.91%,3.64,12.91%,161,422,Active,"Jan 24, 2003"
Samuel Adams Chocolate Bock,Boston Beer Company (Samuel Adams),"Massachusetts, United States",BockRanked #70,Bock,Ranked #70, 5.8%,"82Ranked #24,910",82,"Ranked #24,910",3.64 | pDev: 16.21%,3.64,16.21%,"1,247","3,144",Active,"Nov 20, 2003"
Hertog Jan Bockbier,Arcense Stoombierbouwerij (Hertog Jan Brouwerij),Netherlands,BockRanked #71,Bock,Ranked #71, 6.5%,"83Ranked #23,928",83,"Ranked #23,928",3.62 | pDev: 11.05%,3.62,11.05%,14,31,Active,"Dec 14, 2004"
Flensburger Winterbock,Flensburger Brauerei,Germany,BockRanked #72,Bock,Ranked #72, 7%,"83Ranked #24,432",83,"Ranked #24,432",3.63 | pDev: 12.12%,3.63,12.12%,36,67,Active,"Jan 09, 2005"
Brugse Bok,Brouwerij De Halve Maan,Belgium,BockRanked #73,Bock,Ranked #73, 6.5%,"83Ranked #24,072",83,"Ranked #24,072",3.62 | pDev: 8.56%,3.62,8.56%,10,35,Active,"Oct 30, 2008"
Hertog Jan Lentebock,Arcense Stoombierbouwerij (Hertog Jan Brouwerij),Netherlands,BockRanked #74,Bock,Ranked #74, 7.2%,"83Ranked #24,151",83,"Ranked #24,151",3.62 | pDev: 12.71%,3.62,12.71%,12,38,Active,"Apr 18, 2010"
Pale Bock,Celis Brewery,"Texas, United States",BockRanked #75,Bock,Ranked #75, 4.9%,"83Ranked #24,403",83,"Ranked #24,403",3.62 | pDev: 11.05%,3.62,11.05%,13,50,Active,"Aug 26, 2017"
Bock,"Compania Cervecera Kunstmann, S.A.",Chile,BockRanked #76,Bock,Ranked #76, 5.3%,"83Ranked #24,213",83,"Ranked #24,213",3.59 | pDev: 11.7%,3.59,11.7%,11,26,Active,"Jan 17, 2006"
Koźlak,Browar Amber,Poland,BockRanked #77,Bock,Ranked #77, 6.5%,"82Ranked #25,232",82,"Ranked #25,232",3.6 | pDev: 13.61%,3.6,13.61%,69,116,Active,"Dec 02, 2005"
Taybeh Dark,Taybeh Brewing Co.,Palestine,BockRanked #78,Bock,Ranked #78, 6%,"83Ranked #24,736",83,"Ranked #24,736",3.56 | pDev: 8.71%,3.56,8.71%,13,27,Active,"Aug 05, 2008"
Winter Böckle,Fürst Wallerstein Brauhaus,Germany,BockRanked #79,Bock,Ranked #79, 7.5%,"83Ranked #24,566",83,"Ranked #24,566",3.52 | pDev: 12.22%,3.52,12.22%,8,17,Active,"Jun 06, 2005"
Poretti 6 Luppoli Bock Rossa,Carlsberg Italia S.p.A.,Italy,BockRanked #80,Bock,Ranked #80, 7%,"82Ranked #25,110",82,"Ranked #25,110",3.55 | pDev: 13.52%,3.55,13.52%,5,33,Active,"Aug 12, 2013"
The Bennie,Granite City Food & Brewery,United States,BockRanked #81,Bock,Ranked #81, 5.5%,"80Ranked #26,363",80,"Ranked #26,363",3.49 | pDev: 12.03%,3.49,12.03%,9,73,Active,"Jun 17, 2014"
Crawford Bock,Karbach Brewing Co.,"Texas, United States",BockRanked #82,Bock,Ranked #82, 4.5%,"80Ranked #26,453",80,"Ranked #26,453",3.49 | pDev: 14.04%,3.49,14.04%,28,91,Active,"Mar 06, 2019"
Samuel Adams Amber Bock,Boston Beer Company (Samuel Adams),"Massachusetts, United States",BockRanked #83,Bock,Ranked #83, 6%,"80Ranked #26,502",80,"Ranked #26,502",3.49 | pDev: 11.46%,3.49,11.46%,26,105,Active,"Jul 03, 2017"
Genesee Spring Bock,Genesee Brewing Co. / Dundee Brewing Co.,"New York, United States",BockRanked #84,Bock,Ranked #84, 5.2%,"79Ranked #26,848",79,"Ranked #26,848",3.47 | pDev: 13.54%,3.47,13.54%,170,356,Active,"Mar 07, 2008"
Samuel Adams Cherry Chocolate Bock,Boston Beer Company (Samuel Adams),"Massachusetts, United States",BockRanked #85,Bock,Ranked #85, 5.8%,"79Ranked #26,898",79,"Ranked #26,898",3.47 | pDev: 19.6%,3.47,19.6%,188,875,Active,"Apr 11, 2011"
Pandora's Bock,Breckenridge Brewery,"Colorado, United States",BockRanked #86,Bock,Ranked #86, 7.5%,"78Ranked #27,115",78,"Ranked #27,115",3.43 | pDev: 14.87%,3.43,14.87%,155,385,Active,"May 25, 2002"
Ironshore Bock,Cayman Islands Brewery Ltd.,Cayman Islands,BockRanked #87,Bock,Ranked #87, 7%,"78Ranked #27,236",78,"Ranked #27,236",3.33 | pDev: 15.32%,3.33,15.32%,16,53,Active,"Jun 08, 2011"
Steam Brew German Red,Privatbrauerei Eichbaum,Germany,BockRanked #88,Bock,Ranked #88, 7.9%,"78Ranked #27,210",78,"Ranked #27,210",3.31 | pDev: 16.62%,3.31,16.62%,15,41,Active,"Jun 08, 2018"
Point Bock,Stevens Point Brewery,"Wisconsin, United States",BockRanked #89,Bock,Ranked #89, 5.2%,"78Ranked #27,218",78,"Ranked #27,218",3.28 | pDev: 14.94%,3.28,14.94%,15,33,Active,"Feb 07, 2002"
Noche Buena,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",Mexico,BockRanked #90,Bock,Ranked #90, 5.9%,"77Ranked #27,464",77,"Ranked #27,464",3.35 | pDev: 17.91%,3.35,17.91%,96,226,Active,"Dec 28, 2002"
Block House Double Chocolate Bock,Pittsburgh Brewing Co.,"Pennsylvania, United States",BockRanked #91,Bock,Ranked #91, 6.5%,"77Ranked #27,532",77,"Ranked #27,532",3.31 | pDev: 25.38%,3.31,25.38%,28,111,Active,"Nov 02, 2014"
Holsten Festbock,Holsten-Brauerei,Germany,BockRanked #92,Bock,Ranked #92, 7%,"76Ranked #27,606",76,"Ranked #27,606",3.3 | pDev: 15.76%,3.3,15.76%,81,136,Active,"Jul 29, 2002"
Grolsch Herfstbok,Grolsch Bierbrouwerij N.V.,Netherlands,BockRanked #93,Bock,Ranked #93, 6.5%,"76Ranked #27,592",76,"Ranked #27,592",3.23 | pDev: 18.89%,3.23,18.89%,20,49,Active,"Mar 09, 2004"
Adler Bock,UAB Švyturys - Utenos alus,Lithuania,BockRanked #94,Bock,Ranked #94, 7%,"76Ranked #27,629",76,"Ranked #27,629",2.87 | pDev: 16.72%,2.87,16.72%,7,12,Active,"Jul 12, 2011"
Huber Bock Beer,Minhas Craft Brewery,"Wisconsin, United States",BockRanked #95,Bock,Ranked #95, 5.5%,"74Ranked #27,902",74,"Ranked #27,902",3.18 | pDev: 18.24%,3.18,18.24%,69,116,Active,"Sep 30, 2002"
Shiner Bock,Spoetzl Brewery,"Texas, United States",BockRanked #96,Bock,Ranked #96, 4.5%,"74Ranked #27,967",74,"Ranked #27,967",3.21 | pDev: 19.63%,3.21,19.63%,"1,234","4,564",Active,"Oct 03, 1999"
Moza Bock Beer,"Cervecería Centro Americana, S.A.",Guatemala,BockRanked #97,Bock,Ranked #97, 5%,"74Ranked #27,952",74,"Ranked #27,952",3.09 | pDev: 17.8%,3.09,17.8%,29,53,Active,"Feb 19, 2002"
Sleeman Bock,Sleeman Breweries Ltd.,"Ontario, Canada",BockRanked #98,Bock,Ranked #98, 6%,"74Ranked #27,946",74,"Ranked #27,946",3.02 | pDev: 10.93%,3.02,10.93%,21,34,Active,"Sep 25, 2009"
Quilmes Bock,Cervecería y Maltería Quilmes / Grupo Bemberg,Argentina,BockRanked #99,Bock,Ranked #99, 6.3%,"72Ranked #28,125",72,"Ranked #28,125",2.81 | pDev: 23.13%,2.81,23.13%,9,23,Active,"Mar 14, 2009"
Michelob AmberBock,Anheuser-Busch,"Missouri, United States",BockRanked #100,Bock,Ranked #100, 5.1%,"68Ranked #28,470",68,"Ranked #28,470",2.91 | pDev: 22.34%,2.91,22.34%,732,"1,970",Active,"Aug 17, 2001"
Celebrator,Ayinger Privatbrauerei,Germany,DoppelbockRanked #1,Doppelbock,Ranked #1, 6.7%,96Ranked #851,96,Ranked #851,4.34 | pDev: 9.91%,4.34,9.91%,"2,603","7,060",Active,"Jan 10, 2001"
Doppelbock Dunkel,Klosterbrauerei Andechs,Germany,DoppelbockRanked #2,Doppelbock,Ranked #2, 7.1%,"95Ranked #1,532",95,"Ranked #1,532",4.28 | pDev: 9.81%,4.28,9.81%,562,"1,348",Active,"Jun 16, 2002"
Convex Refraction,Jackie O's Brewpub,"Ohio, United States",DoppelbockRanked #3,Doppelbock,Ranked #3, 13.7%,"95Ranked #1,842",95,"Ranked #1,842",4.39 | pDev: 6.15%,4.39,6.15%,15,27,Active,"Jun 26, 2021"
Indikator,Schilling Beer Co.,"New Hampshire, United States",DoppelbockRanked #4,Doppelbock,Ranked #4, 8%,"94Ranked #2,805",94,"Ranked #2,805",4.33 | pDev: 8.55%,4.33,8.55%,7,25,Active,"May 01, 2021"
Weihenstephaner Korbinian,Bayerische Staatsbrauerei Weihenstephan,Germany,DoppelbockRanked #5,Doppelbock,Ranked #5, 7.4%,"93Ranked #2,944",93,"Ranked #2,944",4.2 | pDev: 9.05%,4.2,9.05%,"1,386","3,035",Active,"Sep 12, 2001"
Gyrator Doppel,New Glarus Brewing Company,"Wisconsin, United States",DoppelbockRanked #6,Doppelbock,Ranked #6, 7.3%,"93Ranked #3,433",93,"Ranked #3,433",4.23 | pDev: 7.09%,4.23,7.09%,22,57,Active,"Sep 16, 2021"
St. Nikolaus Bock Bier - Brewer's Reserve,Pennsylvania Brewing Company,"Pennsylvania, United States",DoppelbockRanked #7,Doppelbock,Ranked #7, 8.5%,"93Ranked #3,813",93,"Ranked #3,813",4.18 | pDev: 9.09%,4.18,9.09%,112,192,Active,"Nov 22, 2007"
The Cavern,Fox Farm Brewery,"Connecticut, United States",DoppelbockRanked #8,Doppelbock,Ranked #8, 7%,"92Ranked #5,391",92,"Ranked #5,391",4.26 | pDev: 5.16%,4.26,5.16%,8,16,Active,"Mar 02, 2022"
Dark Crator,Boulevard Brewing Co.,"Missouri, United States",DoppelbockRanked #9,Doppelbock,Ranked #9, 12.5%,"92Ranked #5,572",92,"Ranked #5,572",4.17 | pDev: 4.8%,4.17,4.8%,16,40,Active,"Sep 10, 2023"
Weltenburger Kloster Asam-Bock,Klosterbrauerei Weltenburg,Germany,DoppelbockRanked #10,Doppelbock,Ranked #10, 7.3%,"91Ranked #6,250",91,"Ranked #6,250",4.1 | pDev: 10.24%,4.1,10.24%,370,627,Active,"May 06, 2002"
Schtüpulator,The Alchemist,"Vermont, United States",DoppelbockRanked #11,Doppelbock,Ranked #11, 8%,"91Ranked #6,401",91,"Ranked #6,401",4.16 | pDev: 9.62%,4.16,9.62%,9,30,Active,"Jan 18, 2020"
Apfelstrudel Doppelbock,Brouwerij het Uiltje,Netherlands,DoppelbockRanked #12,Doppelbock,Ranked #12, 11%,"91Ranked #6,536",91,"Ranked #6,536",4.2 | pDev: 8.81%,4.2,8.81%,8,18,Active,"Oct 16, 2017"
Tucher Bajuvator Doppelbock,Brauerei Tucher Brau,Germany,DoppelbockRanked #13,Doppelbock,Ranked #13, 7.2%,"91Ranked #6,876",91,"Ranked #6,876",4.09 | pDev: 11%,4.09,11%,197,271,Active,"Jul 17, 2001"
