name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Feierling Inselhopf,Hausbrauerei Feierling,Germany,Kellerbier / ZwickelbierRanked #1,Kellerbier / Zwickelbier,Ranked #1, 5%,"94Ranked #2,256",94,"Ranked #2,256",4.41 | pDev: 11.79%,4.41,11.79%,6,19,Active,"Aug 10, 2004"
Quaint,Tree House Brewing Company,"Massachusetts, United States",Kellerbier / ZwickelbierRanked #16,Kellerbier / Zwickelbier,Ranked #16, 5.3%,"90Ranked #9,649",90,"Ranked #9,649",4.05 | pDev: 5.68%,4.05,5.68%,15,46,Active,"Sep 04, 2021"
Paracelsus Zwickl,Stieglbrauerei zu Salzburg GmbH,Austria,Kellerbier / ZwickelbierRanked #17,Kellerbier / Zwickelbier,Ranked #17, 5%,"90Ranked #9,944",90,"Ranked #9,944",4.03 | pDev: 9.93%,4.03,9.93%,38,91,Active,"Jun 10, 2008"
Emelyn,Idle Hands Craft Ales,"Massachusetts, United States",Kellerbier / ZwickelbierRanked #18,Kellerbier / Zwickelbier,Ranked #18, 5.5%,"90Ranked #9,698",90,"Ranked #9,698",4.06 | pDev: 7.88%,4.06,7.88%,10,33,Active,"Jul 10, 2016"
Franconian Kellerbier,Port City Brewing,"Virginia, United States",Kellerbier / ZwickelbierRanked #19,Kellerbier / Zwickelbier,Ranked #19, 5%,"90Ranked #10,003",90,"Ranked #10,003",4.07 | pDev: 4.42%,4.07,4.42%,10,22,Active,"Aug 19, 2017"
Burgenstraße,Human Robot Brewing,"Pennsylvania, United States",Kellerbier / ZwickelbierRanked #20,Kellerbier / Zwickelbier,Ranked #20, 5.2%,"90Ranked #9,861",90,"Ranked #9,861",4.1 | pDev: 3.9%,4.1,3.9%,10,15,Active,"May 27, 2021"
Remote,Tree House Brewing Company,"Massachusetts, United States",Kellerbier / ZwickelbierRanked #21,Kellerbier / Zwickelbier,Ranked #21, 5%,"90Ranked #10,643",90,"Ranked #10,643",4.04 | pDev: 11.14%,4.04,11.14%,7,28,Active,"Nov 30, 2021"
Gold Beach Lager,Arch Rock Brewing Company,"Oregon, United States",Kellerbier / ZwickelbierRanked #22,Kellerbier / Zwickelbier,Ranked #22, 5%,"90Ranked #10,509",90,"Ranked #10,509",4.06 | pDev: 12.07%,4.06,12.07%,4,20,Active,"Jun 20, 2014"
Wet Hop Lager,Bissell Brothers Brewing Co.,"Maine, United States",Kellerbier / ZwickelbierRanked #23,Kellerbier / Zwickelbier,Ranked #23, 5.5%,"90Ranked #10,554",90,"Ranked #10,554",4.06 | pDev: 6.9%,4.06,6.9%,5,19,Active,"Sep 21, 2017"
Kellerbier Ungespundet-Lager hefetrüb (aU Ungespundet Naturtrüb),Mahr's Bräu,Germany,Kellerbier / ZwickelbierRanked #24,Kellerbier / Zwickelbier,Ranked #24, 5.2%,"89Ranked #11,759",89,"Ranked #11,759",3.98 | pDev: 10.55%,3.98,10.55%,221,428,Active,"Mar 30, 2002"
Unmitigated,Threes Brewing,"New York, United States",Kellerbier / ZwickelbierRanked #25,Kellerbier / Zwickelbier,Ranked #25, 5%,"90Ranked #10,576",90,"Ranked #10,576",4.08 | pDev: 3.43%,4.08,3.43%,8,14,Active,"Jul 15, 2021"
Radeberger Zwickel,Radeberger Exportbierbrauerei,Germany,Kellerbier / ZwickelbierRanked #26,Kellerbier / Zwickelbier,Ranked #26, 4.8%,"89Ranked #11,623",89,"Ranked #11,623",3.99 | pDev: 9.02%,3.99,9.02%,45,97,Active,"Dec 23, 2009"
Schwarzwald Zäpfle,Badische Staatsbrauerei Rothaus,Germany,Kellerbier / ZwickelbierRanked #27,Kellerbier / Zwickelbier,Ranked #27, 5.1%,"89Ranked #10,711",89,"Ranked #10,711",4.07 | pDev: 6.63%,4.07,6.63%,6,15,Active,"Mar 29, 2016"
Cold,TRVE Brewing Co.,"Colorado, United States",Kellerbier / ZwickelbierRanked #28,Kellerbier / Zwickelbier,Ranked #28, 5.4%,"89Ranked #11,141",89,"Ranked #11,141",4.03 | pDev: 5.46%,4.03,5.46%,7,25,Active,"Mar 05, 2017"
Von Pilsner,Crooked Stave Artisan Beer Project,"Colorado, United States",Kellerbier / ZwickelbierRanked #29,Kellerbier / Zwickelbier,Ranked #29, 5%,"89Ranked #11,944",89,"Ranked #11,944",3.98 | pDev: 9.05%,3.98,9.05%,59,157,Active,"Oct 11, 2016"
Ungespundet,Notch Brewing,"Massachusetts, United States",Kellerbier / ZwickelbierRanked #30,Kellerbier / Zwickelbier,Ranked #30, 4.5%,"89Ranked #11,328",89,"Ranked #11,328",4.08 | pDev: 3.43%,4.08,3.43%,2,10,Active,"Jun 10, 2020"
1612er Zwickl Bier,Hofbräuhaus Traunstein Josef Sailer KG,Germany,Kellerbier / ZwickelbierRanked #31,Kellerbier / Zwickelbier,Ranked #31, 5.3%,"89Ranked #12,208",89,"Ranked #12,208",3.99 | pDev: 10.28%,3.99,10.28%,9,36,Active,"Oct 22, 2002"
Short List,Deciduous Brewing Company,"New Hampshire, United States",Kellerbier / ZwickelbierRanked #32,Kellerbier / Zwickelbier,Ranked #32, 4.5%,"89Ranked #11,573",89,"Ranked #11,573",4.07 | pDev: 6.63%,4.07,6.63%,3,10,Active,"May 17, 2020"
Lawn Boy,Tonewood Brewing,"New Jersey, United States",Kellerbier / ZwickelbierRanked #33,Kellerbier / Zwickelbier,Ranked #33, 5.6%,"89Ranked #11,920",89,"Ranked #11,920",4.03 | pDev: 4.71%,4.03,4.71%,8,15,Active,"Mar 17, 2020"
KillaPilz,Voodoo Brewing Company,"Pennsylvania, United States",Kellerbier / ZwickelbierRanked #34,Kellerbier / Zwickelbier,Ranked #34, 7.5%,"88Ranked #13,225",88,"Ranked #13,225",3.95 | pDev: 11.14%,3.95,11.14%,228,482,Active,"Jul 05, 2006"
Zwickelbier,Red Rock Brewing Company,"Utah, United States",Kellerbier / ZwickelbierRanked #35,Kellerbier / Zwickelbier,Ranked #35, 4%,"89Ranked #11,821",89,"Ranked #11,821",4.06 | pDev: 13.79%,4.06,13.79%,5,10,Active,"Dec 19, 2017"
Zwickelbier,Heater Allen Brewing,"Oregon, United States",Kellerbier / ZwickelbierRanked #36,Kellerbier / Zwickelbier,Ranked #36, 5%,"89Ranked #13,004",89,"Ranked #13,004",3.98 | pDev: 6.78%,3.98,6.78%,10,22,Active,"Jun 09, 2017"
Popfuji,Brouwerij West,"California, United States",Kellerbier / ZwickelbierRanked #37,Kellerbier / Zwickelbier,Ranked #37, 5%,"88Ranked #13,942",88,"Ranked #13,942",3.94 | pDev: 8.63%,3.94,8.63%,32,79,Active,"Apr 03, 2017"
Lager,Ghost Hawk Brewing Co.,"New Jersey, United States",Kellerbier / ZwickelbierRanked #38,Kellerbier / Zwickelbier,Ranked #38, 5%,"88Ranked #13,131",88,"Ranked #13,131",3.99 | pDev: 11.28%,3.99,11.28%,6,14,Active,"Apr 24, 2019"
Clever Kiwi,Burgeon Beer Company,"California, United States",Kellerbier / ZwickelbierRanked #39,Kellerbier / Zwickelbier,Ranked #39, 5%,"88Ranked #13,132",88,"Ranked #13,132",3.99 | pDev: 7.02%,3.99,7.02%,5,14,Active,"May 03, 2019"
Schanzenbräu Hell,Brauerei Schanzenbräu,Germany,Kellerbier / ZwickelbierRanked #40,Kellerbier / Zwickelbier,Ranked #40, 4.8%,"89Ranked #13,073",89,"Ranked #13,073",4 | pDev: 7.75%,4,7.75%,4,12,Active,"Oct 05, 2009"
Ketzer,Dutchess Ales,"New York, United States",Kellerbier / ZwickelbierRanked #41,Kellerbier / Zwickelbier,Ranked #41, 4.8%,"88Ranked #13,841",88,"Ranked #13,841",3.95 | pDev: 5.82%,3.95,5.82%,17,33,Active,"Oct 01, 2020"
Gold & Grain,Jack's Abby Brewing,"Massachusetts, United States",Kellerbier / ZwickelbierRanked #42,Kellerbier / Zwickelbier,Ranked #42, 5.4%,"88Ranked #13,690",88,"Ranked #13,690",3.96 | pDev: 6.06%,3.96,6.06%,12,22,Active,"Jan 21, 2018"
Dinkelacker Kellerbier,Dinkelacker-Schwabenbraeu AG,Germany,Kellerbier / ZwickelbierRanked #43,Kellerbier / Zwickelbier,Ranked #43, 4.8%,"88Ranked #14,004",88,"Ranked #14,004",3.97 | pDev: 11.34%,3.97,11.34%,2,11,Active,"Aug 01, 2015"
Weiherer Keller,Brauerei Gasthof Kundmüller,Germany,Kellerbier / ZwickelbierRanked #44,Kellerbier / Zwickelbier,Ranked #44, 4.9%,"88Ranked #14,544",88,"Ranked #14,544",3.94 | pDev: 8.88%,3.94,8.88%,8,19,Active,"Nov 14, 2009"
Hofbrau Kellerbier,Hofbräuhaus München,Germany,Kellerbier / ZwickelbierRanked #45,Kellerbier / Zwickelbier,Ranked #45, 5.1%,"88Ranked #14,166",88,"Ranked #14,166",3.96 | pDev: 6.06%,3.96,6.06%,1,12,Active,"Sep 24, 2017"
Faust Kraeusen Naturtrueb,Brauhaus Faust-Miltenberger,Germany,Kellerbier / ZwickelbierRanked #46,Kellerbier / Zwickelbier,Ranked #46, 5.5%,"88Ranked #14,454",88,"Ranked #14,454",3.95 | pDev: 8.86%,3.95,8.86%,6,13,Active,"Mar 03, 2005"
Original Landbier Zwick'l,Bayreuther Bierbrauerei,Germany,Kellerbier / ZwickelbierRanked #47,Kellerbier / Zwickelbier,Ranked #47, 5.3%,"87Ranked #15,716",87,"Ranked #15,716",3.9 | pDev: 10.26%,3.9,10.26%,63,194,Active,"Aug 19, 2008"
Hofbräu Winterzwickl,Hofbräuhaus München,Germany,Kellerbier / ZwickelbierRanked #48,Kellerbier / Zwickelbier,Ranked #48, 5.5%,"88Ranked #14,566",88,"Ranked #14,566",3.95 | pDev: 5.57%,3.95,5.57%,6,11,Active,"Dec 13, 2017"
Frisches Bier,Narrow Gauge Brewing Company,"Missouri, United States",Kellerbier / ZwickelbierRanked #49,Kellerbier / Zwickelbier,Ranked #49, 5.2%,"88Ranked #14,945",88,"Ranked #14,945",3.93 | pDev: 5.85%,3.93,5.85%,8,17,Active,"Nov 21, 2018"
Arcobräu Zwickl Lager,Arcobräu Gräfliches Brauhaus,Germany,Kellerbier / ZwickelbierRanked #50,Kellerbier / Zwickelbier,Ranked #50, 5.2%,"87Ranked #16,260",87,"Ranked #16,260",3.89 | pDev: 10.8%,3.89,10.8%,60,137,Active,"Jan 26, 2011"
Granary Kellerbier,Templin Family Brewing,"Utah, United States",Kellerbier / ZwickelbierRanked #51,Kellerbier / Zwickelbier,Ranked #51, 4.7%,"88Ranked #15,333",88,"Ranked #15,333",3.92 | pDev: 8.93%,3.92,8.93%,5,13,Active,"Jul 01, 2019"
Buttenheimer Keller Bier,St. Georgenbräu,Germany,Kellerbier / ZwickelbierRanked #52,Kellerbier / Zwickelbier,Ranked #52, 4.9%,"87Ranked #16,683",87,"Ranked #16,683",3.88 | pDev: 11.86%,3.88,11.86%,183,241,Active,"Mar 28, 2001"
Creemore Springs Kellerbier,Creemore Springs Brewery Limited,"Ontario, Canada",Kellerbier / ZwickelbierRanked #53,Kellerbier / Zwickelbier,Ranked #53, 5%,"87Ranked #16,673",87,"Ranked #16,673",3.88 | pDev: 11.86%,3.88,11.86%,99,189,Active,"Jun 23, 2009"
Zoller Zwickel,Brauerei Zoller-Hof,Germany,Kellerbier / ZwickelbierRanked #54,Kellerbier / Zwickelbier,Ranked #54, 5.5%,"87Ranked #16,153",87,"Ranked #16,153",3.89 | pDev: 11.83%,3.89,11.83%,13,34,Active,"Sep 10, 2015"
Southern Gothic,Sierra Nevada Brewing Co.,"California, United States",Kellerbier / ZwickelbierRanked #55,Kellerbier / Zwickelbier,Ranked #55, 5.6%,"87Ranked #16,628",87,"Ranked #16,628",3.88 | pDev: 11.34%,3.88,11.34%,42,117,Active,"Feb 04, 2017"
Spectra Hoppy Pilsner,Ecliptic Brewing,"Oregon, United States",Kellerbier / ZwickelbierRanked #56,Kellerbier / Zwickelbier,Ranked #56, 5.5%,"87Ranked #15,913",87,"Ranked #15,913",3.9 | pDev: 6.67%,3.9,6.67%,8,16,Active,"Sep 12, 2016"
Riot,Revolution Brewing,"Illinois, United States",Kellerbier / ZwickelbierRanked #57,Kellerbier / Zwickelbier,Ranked #57, 5.5%,"87Ranked #16,530",87,"Ranked #16,530",3.88 | pDev: 9.28%,3.88,9.28%,13,48,Active,"Feb 12, 2011"
Zwickel Kellerbier,Jack's Abby Brewing,"Massachusetts, United States",Kellerbier / ZwickelbierRanked #58,Kellerbier / Zwickelbier,Ranked #58, 5.4%,"87Ranked #15,947",87,"Ranked #15,947",3.9 | pDev: 7.44%,3.9,7.44%,11,13,Active,"May 19, 2021"
Dry Hop'd Zwickl,Bitburger Brauerei,Germany,Kellerbier / ZwickelbierRanked #59,Kellerbier / Zwickelbier,Ranked #59, 4.9%,"87Ranked #17,063",87,"Ranked #17,063",3.87 | pDev: 8.01%,3.87,8.01%,49,98,Active,"Apr 07, 2022"
The Ground Walks,New Trail Brewing Company,"Pennsylvania, United States",Kellerbier / ZwickelbierRanked #60,Kellerbier / Zwickelbier,Ranked #60, 4.8%,"87Ranked #16,028",87,"Ranked #16,028",3.89 | pDev: 8.48%,3.89,8.48%,6,12,Active,"May 14, 2021"
Ayinger Kellerbier,Ayinger Privatbrauerei,Germany,Kellerbier / ZwickelbierRanked #61,Kellerbier / Zwickelbier,Ranked #61, 4.9%,"87Ranked #17,478",87,"Ranked #17,478",3.86 | pDev: 10.62%,3.86,10.62%,35,85,Active,"Apr 29, 2003"
Zwickel,Urban Chestnut Brewing Company - Midtown Brewery & Biergarten,"Missouri, United States",Kellerbier / ZwickelbierRanked #62,Kellerbier / Zwickelbier,Ranked #62, 5.2%,"87Ranked #18,083",87,"Ranked #18,083",3.85 | pDev: 11.95%,3.85,11.95%,106,469,Active,"Jun 20, 2011"
Citra-Pils Keller Bier,Switchback Brewing Company,"Vermont, United States",Kellerbier / ZwickelbierRanked #63,Kellerbier / Zwickelbier,Ranked #63, 5.1%,"87Ranked #17,976",87,"Ranked #17,976",3.85 | pDev: 8.57%,3.85,8.57%,40,135,Active,"Apr 21, 2015"
Distelhäuser Kellerbier,Distelhäuser Brauerei,Germany,Kellerbier / ZwickelbierRanked #64,Kellerbier / Zwickelbier,Ranked #64, 5.1%,"87Ranked #17,233",87,"Ranked #17,233",3.85 | pDev: 7.79%,3.85,7.79%,8,12,Active,"Mar 25, 2015"
Beersel Lager,Brouwerij 3 Fonteinen,Belgium,Kellerbier / ZwickelbierRanked #65,Kellerbier / Zwickelbier,Ranked #65, 5.2%,"86Ranked #18,391",86,"Ranked #18,391",3.84 | pDev: 10.68%,3.84,10.68%,56,129,Active,"Feb 08, 2006"
Die HerzMaschine,Foreign Objects Beer Company,"New York, United States",Kellerbier / ZwickelbierRanked #66,Kellerbier / Zwickelbier,Ranked #66, 5.2%,"86Ranked #18,306",86,"Ranked #18,306",3.83 | pDev: 9.4%,3.83,9.4%,5,29,Active,"Jul 23, 2018"
Fürsten Zwickel,Fürst Wallerstein Brauhaus,Germany,Kellerbier / ZwickelbierRanked #67,Kellerbier / Zwickelbier,Ranked #67, 4.7%,"86Ranked #18,634",86,"Ranked #18,634",3.83 | pDev: 10.97%,3.83,10.97%,19,58,Active,"Feb 15, 2005"
Ziggy Zoggy Summer Lager,Silver City Brewery & Taproom,"Washington, United States",Kellerbier / ZwickelbierRanked #68,Kellerbier / Zwickelbier,Ranked #68, 5%,"86Ranked #18,698",86,"Ranked #18,698",3.83 | pDev: 10.97%,3.83,10.97%,23,74,Active,"May 07, 2011"
Mönchshof Kellerbier,Kulmbacher Brauerei AG,Germany,Kellerbier / ZwickelbierRanked #69,Kellerbier / Zwickelbier,Ranked #69, 5.4%,"86Ranked #18,964",86,"Ranked #18,964",3.83 | pDev: 11.49%,3.83,11.49%,184,363,Active,"Oct 14, 2005"
2SPils,2SP Brewing Company,"Pennsylvania, United States",Kellerbier / ZwickelbierRanked #70,Kellerbier / Zwickelbier,Ranked #70, 5%,"86Ranked #18,843",86,"Ranked #18,843",3.82 | pDev: 11.26%,3.82,11.26%,14,41,Active,"Apr 22, 2016"
Grevensteiner Original,Brauerei C. & A. Veltins,Germany,Kellerbier / ZwickelbierRanked #71,Kellerbier / Zwickelbier,Ranked #71, 5.2%,"86Ranked #19,394",86,"Ranked #19,394",3.82 | pDev: 10.73%,3.82,10.73%,117,330,Active,"Mar 13, 2014"
Th. König Zwickl,König-Brauerei GmbH,Germany,Kellerbier / ZwickelbierRanked #72,Kellerbier / Zwickelbier,Ranked #72, 5.3%,"86Ranked #18,475",86,"Ranked #18,475",3.81 | pDev: 9.71%,3.81,9.71%,6,16,Active,"Jan 30, 2017"
Aktien Zwick'l Kellerbier,Bayreuther Bierbrauerei,Germany,Kellerbier / ZwickelbierRanked #73,Kellerbier / Zwickelbier,Ranked #73, 5.3%,"86Ranked #18,890",86,"Ranked #18,890",3.81 | pDev: 9.19%,3.81,9.19%,9,26,Active,"May 29, 2017"
Summer Teeth,Columbus Brewing Company,"Ohio, United States",Kellerbier / ZwickelbierRanked #74,Kellerbier / Zwickelbier,Ranked #74, 5%,"86Ranked #19,723",86,"Ranked #19,723",3.81 | pDev: 11.02%,3.81,11.02%,61,190,Active,"Jul 29, 2009"
Kubelbier,Brauerei Hofstetten / Krammer,Austria,Kellerbier / ZwickelbierRanked #75,Kellerbier / Zwickelbier,Ranked #75, 5.5%,"86Ranked #20,328",86,"Ranked #20,328",3.79 | pDev: 9.76%,3.79,9.76%,57,90,Active,"Jun 09, 2009"
Kellerbier,Hacker-Pschorr Bräu GmbH,Germany,Kellerbier / ZwickelbierRanked #76,Kellerbier / Zwickelbier,Ranked #76, 5.5%,"85Ranked #20,562",85,"Ranked #20,562",3.79 | pDev: 11.87%,3.79,11.87%,133,311,Active,"May 10, 2003"
Kellerbier,Brauerei Göller,Germany,Kellerbier / ZwickelbierRanked #77,Kellerbier / Zwickelbier,Ranked #77, 4.9%,"86Ranked #19,988",86,"Ranked #19,988",3.75 | pDev: 14.13%,3.75,14.13%,13,15,Active,"Aug 18, 2008"
Genesee Cran Orange Kellerbier,Genesee Brewing Co. / Dundee Brewing Co.,"New York, United States",Kellerbier / ZwickelbierRanked #78,Kellerbier / Zwickelbier,Ranked #78, 4.5%,"86Ranked #19,994",86,"Ranked #19,994",3.75 | pDev: 16%,3.75,16%,6,15,Active,"Oct 09, 2021"
Ungespundetes Landbier,Brauerei Bayer Theinheim,Germany,Kellerbier / ZwickelbierRanked #79,Kellerbier / Zwickelbier,Ranked #79, 4.7%,"86Ranked #19,916",86,"Ranked #19,916",3.74 | pDev: 17.38%,3.74,17.38%,7,12,Active,"Sep 21, 2009"
Warsteiner Brewers Gold,Warsteiner Brauerei,Germany,Kellerbier / ZwickelbierRanked #80,Kellerbier / Zwickelbier,Ranked #80, 5.2%,"85Ranked #20,790",85,"Ranked #20,790",3.77 | pDev: 11.67%,3.77,11.67%,32,58,Active,"May 14, 2020"
Kellerbier,Haven Brewing Co.,"Ontario, Canada",Kellerbier / ZwickelbierRanked #81,Kellerbier / Zwickelbier,Ranked #81, 4.8%,"85Ranked #20,787",85,"Ranked #20,787",3.76 | pDev: 9.31%,3.76,9.31%,11,37,Active,"Dec 03, 2014"
Licher Original 1854,Licher Privatbrauerei,Germany,Kellerbier / ZwickelbierRanked #82,Kellerbier / Zwickelbier,Ranked #82, 5%,"86Ranked #20,289",86,"Ranked #20,289",3.73 | pDev: 7.24%,3.73,7.24%,6,13,Active,"Apr 05, 2016"
Kloster-Sud,Klosterbrauerei Weißenohe,Germany,Kellerbier / ZwickelbierRanked #83,Kellerbier / Zwickelbier,Ranked #83, 5.4%,"85Ranked #20,701",85,"Ranked #20,701",3.75 | pDev: 13.07%,3.75,13.07%,18,25,Active,"Jul 29, 2007"
Ottakringer Zwickl,Ottakringer Brauerei AG,Austria,Kellerbier / ZwickelbierRanked #84,Kellerbier / Zwickelbier,Ranked #84, 5.2%,"85Ranked #20,568",85,"Ranked #20,568",3.74 | pDev: 12.57%,3.74,12.57%,5,19,Active,"May 10, 2008"
Zwickel Bier,Rugenbräu AG,Switzerland,Kellerbier / ZwickelbierRanked #85,Kellerbier / Zwickelbier,Ranked #85, 4.8%,"85Ranked #20,825",85,"Ranked #20,825",3.69 | pDev: 8.4%,3.69,8.4%,3,11,Active,"Jul 08, 2008"
Quöllfrisch Naturtrüb,Brauerei Locher AG,Switzerland,Kellerbier / ZwickelbierRanked #86,Kellerbier / Zwickelbier,Ranked #86, 4.8%,"85Ranked #21,668",85,"Ranked #21,668",3.74 | pDev: 12.3%,3.74,12.3%,24,51,Active,"Dec 07, 2003"
Ring the Bell,Conshohocken Brewing Company,"Pennsylvania, United States",Kellerbier / ZwickelbierRanked #87,Kellerbier / Zwickelbier,Ranked #87, 5.2%,"85Ranked #21,461",85,"Ranked #21,461",3.72 | pDev: 10.48%,3.72,10.48%,12,24,Active,"Mar 14, 2020"
Ur-Stoff,Krug-Bräu,Germany,Kellerbier / ZwickelbierRanked #88,Kellerbier / Zwickelbier,Ranked #88, 5.4%,"85Ranked #21,205",85,"Ranked #21,205",3.68 | pDev: 8.7%,3.68,8.7%,5,12,Active,"Jul 05, 2008"
White Lager,The Schlafly Tap Room,"Missouri, United States",Kellerbier / ZwickelbierRanked #89,Kellerbier / Zwickelbier,Ranked #89, 5.5%,"85Ranked #22,075",85,"Ranked #22,075",3.74 | pDev: 9.09%,3.74,9.09%,35,117,Active,"Jul 22, 2015"
Hübner-Bräu Vollbier (Landbier),Brauerei Otto Hübner,Germany,Kellerbier / ZwickelbierRanked #90,Kellerbier / Zwickelbier,Ranked #90, 4.7%,"85Ranked #21,435",85,"Ranked #21,435",3.66 | pDev: 8.2%,3.66,8.2%,6,11,Active,"Jan 08, 2007"
Fürst Carl Kellerbier,Fürst Carl Schlossbrauerei Ellingen,Germany,Kellerbier / ZwickelbierRanked #91,Kellerbier / Zwickelbier,Ranked #91, 5.1%,"84Ranked #22,223",84,"Ranked #22,223",3.73 | pDev: 10.99%,3.73,10.99%,39,86,Active,"Dec 10, 2019"
Keller Pils (2019+),August Schell Brewing Company,"Minnesota, United States",Kellerbier / ZwickelbierRanked #92,Kellerbier / Zwickelbier,Ranked #92, 5.5%,"84Ranked #22,493",84,"Ranked #22,493",3.68 | pDev: 11.68%,3.68,11.68%,14,26,Active,"Feb 22, 2019"
Keller Pils,Lost And Grounded,"England, United Kingdom",Kellerbier / ZwickelbierRanked #93,Kellerbier / Zwickelbier,Ranked #93, 4.8%,"84Ranked #22,354",84,"Ranked #22,354",3.66 | pDev: 8.47%,3.66,8.47%,7,18,Active,"Jul 17, 2017"
Krombacher Naturtrübes Kellerbier,Krombacher Brauerei,Germany,Kellerbier / ZwickelbierRanked #94,Kellerbier / Zwickelbier,Ranked #94, 5.1%,"84Ranked #22,532",84,"Ranked #22,532",3.67 | pDev: 10.35%,3.67,10.35%,9,23,Active,"Jul 04, 2016"
Zwickl,Paulaner Brauerei,Germany,Kellerbier / ZwickelbierRanked #95,Kellerbier / Zwickelbier,Ranked #95, 5.5%,"84Ranked #22,746",84,"Ranked #22,746",3.66 | pDev: 11.48%,3.66,11.48%,5,23,Active,"Apr 04, 2017"
