name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Budweiser Select 55,Anheuser-Busch,"Missouri, United States",Light LagerRanked #171,Light Lager,Ranked #171, 2.4%,"43Ranked #28,885",43,"Ranked #28,885",1.65 | pDev: 42.42%,1.65,42.42%,167,630,Active,"Sep 09, 2009"
Busch Beer,Anheuser-Busch,"Missouri, United States",American Adjunct LagerRanked #305,American Adjunct Lager,Ranked #305, 4.3%,"51Ranked #28,861",51,"Ranked #28,861",2.09 | pDev: 38.28%,2.09,38.28%,548,"1,931",Active,"Nov 20, 2000"
Icehouse,Miller Brewing Co.,"Wisconsin, United States",American Adjunct LagerRanked #304,American Adjunct Lager,Ranked #304, 5.5%,"52Ranked #28,860",52,"Ranked #28,860",2.09 | pDev: 35.89%,2.09,35.89%,426,"1,370",Active,"Aug 19, 2001"
Hurricane Malt Liquor,Anheuser-Busch,"Missouri, United States",Malt LiquorRanked #49,Malt Liquor,Ranked #49, 6%,"52Ranked #28,859",52,"Ranked #28,859",2.04 | pDev: 40.69%,2.04,40.69%,92,259,Active,"Aug 01, 2002"
King Cobra Premium Malt Liquor,Anheuser-Busch,"Missouri, United States",Malt LiquorRanked #48,Malt Liquor,Ranked #48, 6%,"52Ranked #28,858",52,"Ranked #28,858",2.12 | pDev: 40.09%,2.12,40.09%,218,595,Active,"Mar 18, 2002"
Bud Light Lime-A-Rita,Anheuser-Busch,"Missouri, United States",Malt LiquorRanked #47,Malt Liquor,Ranked #47, 8%,"53Ranked #28,857",53,"Ranked #28,857",2.13 | pDev: 37.09%,2.13,37.09%,92,761,Active,"Jul 06, 2012"
Olde English 800,Miller Brewing Co.,"Wisconsin, United States",Malt LiquorRanked #46,Malt Liquor,Ranked #46, 5.9%,"53Ranked #28,856",53,"Ranked #28,856",2.14 | pDev: 41.59%,2.14,41.59%,374,"1,168",Active,"Apr 11, 2002"
Milwaukee's Best Ice,Miller Brewing Co.,"Wisconsin, United States",American Adjunct LagerRanked #300,American Adjunct Lager,Ranked #300, 5.9%,"53Ranked #28,855",53,"Ranked #28,855",2.15 | pDev: 41.86%,2.15,41.86%,255,766,Active,"Nov 29, 2001"
Bud Light Lime,Anheuser-Busch,"Missouri, United States",Light LagerRanked #155,Light Lager,Ranked #155, 4.2%,"53Ranked #28,854",53,"Ranked #28,854",2.19 | pDev: 36.53%,2.19,36.53%,603,"2,732",Active,"Mar 27, 2008"
Budweiser & Clamato Chelada,Anheuser-Busch,"Missouri, United States",Fruit and Field BeerRanked #422,Fruit and Field Beer,Ranked #422, 5%,"54Ranked #28,853",54,"Ranked #28,853",2.16 | pDev: 52.78%,2.16,52.78%,190,363,Active,"Jun 24, 2007"
Michelob Light,Anheuser-Busch,"Missouri, United States",Light LagerRanked #154,Light Lager,Ranked #154, 4.3%,"54Ranked #28,852",54,"Ranked #28,852",2.2 | pDev: 34.55%,2.2,34.55%,213,922,Active,"Aug 17, 2001"
Lucky Lager,Labatt Brewing Company Ltd.,"Ontario, Canada",American Adjunct LagerRanked #302,American Adjunct Lager,Ranked #302, 5%,"54Ranked #28,851",54,"Ranked #28,851",2.08 | pDev: 37.98%,2.08,37.98%,47,121,Active,"Apr 20, 2004"
Old Milwaukee Ice,Pabst Brewing Company,"Texas, United States",American Adjunct LagerRanked #301,American Adjunct Lager,Ranked #301, 5.9%,"54Ranked #28,850",54,"Ranked #28,850",2.06 | pDev: 39.32%,2.06,39.32%,31,91,Active,"Dec 09, 2002"
Miller Lite,Miller Brewing Co.,"Wisconsin, United States",Light LagerRanked #153,Light Lager,Ranked #153, 4.17%,"54Ranked #28,849",54,"Ranked #28,849",2.24 | pDev: 35.27%,2.24,35.27%,"1,373","5,143",Active,"Oct 03, 1999"
Bud Light Platinum,Anheuser-Busch,"Missouri, United States",American Adjunct LagerRanked #294,American Adjunct Lager,Ranked #294, 6%,"55Ranked #28,848",55,"Ranked #28,848",2.25 | pDev: 34.22%,2.25,34.22%,401,"2,015",Active,"Dec 31, 2011"
Coors Light Iced T,Coors Brewing Company (Molson-Coors),"Colorado, United States",American Adjunct LagerRanked #303,American Adjunct Lager,Ranked #303, 4%,"55Ranked #28,847",55,"Ranked #28,847",1.97 | pDev: 47.72%,1.97,47.72%,18,55,Active,"Mar 31, 2012"
Stroh's Light,Pabst Brewing Company,"Texas, United States",Light LagerRanked #156,Light Lager,Ranked #156, 3.82%,"55Ranked #28,846",55,"Ranked #28,846",2.11 | pDev: 35.55%,2.11,35.55%,32,102,Active,"Nov 08, 2001"
Colt 45 Malt Liquor,Pabst Brewing Company,"Texas, United States",Malt LiquorRanked #41,Malt Liquor,Ranked #41, 5.61%,"55Ranked #28,845",55,"Ranked #28,845",2.28 | pDev: 35.09%,2.28,35.09%,322,995,Active,"Aug 25, 2001"
Amsterdam Maximator,Grolsch Bierbrouwerij N.V.,Netherlands,DoppelbockRanked #137,Doppelbock,Ranked #137, 11.6%,"55Ranked #28,844",55,"Ranked #28,844",1.95 | pDev: 33.85%,1.95,33.85%,23,46,Active,"May 23, 2004"
Labatt Blue Light,Labatt Brewing Company Ltd.,"Ontario, Canada",Light LagerRanked #151,Light Lager,Ranked #151, 4%,"56Ranked #28,843",56,"Ranked #28,843",2.28 | pDev: 32.46%,2.28,32.46%,204,714,Active,"Oct 22, 2001"
St. Ides High Gravity Malt Liquor,Saint Ides Brewing Company,"Texas, United States",Malt LiquorRanked #42,Malt Liquor,Ranked #42, 8.2%,"56Ranked #28,842",56,"Ranked #28,842",2.23 | pDev: 37.67%,2.23,37.67%,90,220,Active,"Feb 04, 2002"
Old Milwaukee,Sleeman Breweries Ltd.,"Ontario, Canada",American Adjunct LagerRanked #299,American Adjunct Lager,Ranked #299, 5%,"56Ranked #28,841",56,"Ranked #28,841",2.15 | pDev: 32.09%,2.15,32.09%,20,99,Active,"Sep 06, 2009"
Jaguar High Gravity Lager,Melanie Brewing Company,"Wisconsin, United States",Malt LiquorRanked #52,Malt Liquor,Ranked #52, 8.3%,"56Ranked #28,840",56,"Ranked #28,840",1.6 | pDev: 28.75%,1.6,28.75%,17,22,Active,"May 05, 2007"
Bud Light Lime Straw-Ber-Rita,Anheuser-Busch,"Missouri, United States",Malt LiquorRanked #40,Malt Liquor,Ranked #40, 8%,"56Ranked #28,839",56,"Ranked #28,839",2.29 | pDev: 38.43%,2.29,38.43%,78,480,Active,"Mar 31, 2013"
Miller Genuine Draft,Miller Brewing Co.,"Wisconsin, United States",American Adjunct LagerRanked #290,American Adjunct Lager,Ranked #290, 4.66%,"56Ranked #28,838",56,"Ranked #28,838",2.32 | pDev: 31.47%,2.32,31.47%,732,"2,701",Active,"Feb 12, 2002"
Tecate Light,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",Mexico,Light LagerRanked #147,Light Lager,Ranked #147, 3.9%,"57Ranked #28,837",57,"Ranked #28,837",2.31 | pDev: 33.77%,2.31,33.77%,94,347,Active,"Feb 26, 2004"
Coors Non-Alcoholic,Coors Brewing Company (Molson-Coors),"Colorado, United States",Low-Alcohol BeerRanked #126,Low-Alcohol Beer,Ranked #126, 0.5%,"57Ranked #28,836",57,"Ranked #28,836",2.2 | pDev: 37.73%,2.2,37.73%,48,98,Active,"Feb 16, 2003"
Kirin Light Beer,"Kirin Brewery Company, Limited",Japan,Light LagerRanked #148,Light Lager,Ranked #148, 3.2%,"57Ranked #28,835",57,"Ranked #28,835",2.3 | pDev: 28.26%,2.3,28.26%,72,229,Active,"Aug 05, 2002"
Carlton Draught,"Carlton & United Breweries, Ltd.",Australia,American Adjunct LagerRanked #293,American Adjunct Lager,Ranked #293, 4.6%,"57Ranked #28,834",57,"Ranked #28,834",2.22 | pDev: 32.88%,2.22,32.88%,40,104,Active,"Jun 04, 2002"
O'Doul's Amber,Anheuser-Busch,"Missouri, United States",Low-Alcohol BeerRanked #125,Low-Alcohol Beer,Ranked #125, 0.5%,"57Ranked #28,833",57,"Ranked #28,833",2.32 | pDev: 33.62%,2.32,33.62%,144,293,Active,"Aug 28, 2002"
Corona Extra,Grupo Modelo S.A. de C.V.,Mexico,American Adjunct LagerRanked #287,American Adjunct Lager,Ranked #287, 4.6%,"57Ranked #28,832",57,"Ranked #28,832",2.37 | pDev: 31.65%,2.37,31.65%,"1,400","5,630",Active,"Jan 10, 2001"
Budweiser,Anheuser-Busch,"Missouri, United States",American Adjunct LagerRanked #286,American Adjunct Lager,Ranked #286, 5%,"57Ranked #28,831",57,"Ranked #28,831",2.38 | pDev: 34.03%,2.38,34.03%,"1,910","6,981",Active,"Nov 21, 2000"
Pacifico Light,Grupo Modelo S.A. de C.V.,Mexico,American Adjunct LagerRanked #297,American Adjunct Lager,Ranked #297, 4.5%,"57Ranked #28,830",57,"Ranked #28,830",2.13 | pDev: 32.86%,2.13,32.86%,11,59,Active,"Aug 11, 2009"
Camo Silver Ice,Camo Brewing Company,"Nevada, United States",Malt LiquorRanked #44,Malt Liquor,Ranked #44, 10.6%,"57Ranked #28,829",57,"Ranked #28,829",2.18 | pDev: 45.41%,2.18,45.41%,50,73,Active,"May 21, 2003"
Heineken Premium Light Lager,Heineken Nederland B.V.,Netherlands,Light LagerRanked #146,Light Lager,Ranked #146, 3.3%,"57Ranked #28,828",57,"Ranked #28,828",2.38 | pDev: 30.67%,2.38,30.67%,309,"1,062",Active,"Mar 01, 2005"
Modelo Light,Grupo Modelo S.A. de C.V.,Mexico,Light LagerRanked #150,Light Lager,Ranked #150, 2.9%,"57Ranked #28,827",57,"Ranked #28,827",2.21 | pDev: 26.7%,2.21,26.7%,23,79,Active,"Mar 01, 2005"
Desperados,Heineken Nederland B.V.,Netherlands,Malt LiquorRanked #35,Malt Liquor,Ranked #35, 5.9%,"58Ranked #28,826",58,"Ranked #28,826",2.35 | pDev: 34.89%,2.35,34.89%,75,298,Active,"Apr 23, 2004"
Boxer Lager,Minhas Craft Brewery,"Wisconsin, United States",American Adjunct LagerRanked #289,American Adjunct Lager,Ranked #289, 5%,"58Ranked #28,825",58,"Ranked #28,825",2.29 | pDev: 35.37%,2.29,35.37%,50,135,Active,"Sep 25, 2010"
Busch NA,Anheuser-Busch,"Missouri, United States",Low-Alcohol BeerRanked #124,Low-Alcohol Beer,Ranked #124, 0.5%,"58Ranked #28,824",58,"Ranked #28,824",2.28 | pDev: 37.72%,2.28,37.72%,64,117,Active,"Oct 23, 2003"
Black Label Beer,Pabst Brewing Company,"Texas, United States",American Adjunct LagerRanked #288,American Adjunct Lager,Ranked #288, 4%,"58Ranked #28,823",58,"Ranked #28,823",2.33 | pDev: 31.33%,2.33,31.33%,67,176,Active,"Aug 23, 2001"
Michelob Ultra Amber,Anheuser-Busch,"Missouri, United States",Light LagerRanked #145,Light Lager,Ranked #145, 4%,"58Ranked #28,822",58,"Ranked #28,822",2.38 | pDev: 28.57%,2.38,28.57%,177,398,Active,"Jan 26, 2006"
Kirin Lager,"Kirin Brewery Company, Limited",Japan,Japanese Rice LagerRanked #40,Japanese Rice Lager,Ranked #40, 4.9%,"58Ranked #28,821",58,"Ranked #28,821",2.37 | pDev: 24.47%,2.37,24.47%,74,313,Active,"Mar 10, 2001"
Crown Lager,Crown Beverages,Australia,American Adjunct LagerRanked #291,American Adjunct Lager,Ranked #291, 4.9%,"58Ranked #28,820",58,"Ranked #28,820",2.25 | pDev: 33.78%,2.25,33.78%,42,87,Active,"Apr 04, 2002"
Stack 101 High Gravity Smooth Lager,United Brands Company,"California, United States",Malt LiquorRanked #43,Malt Liquor,Ranked #43, 9.9%,"58Ranked #28,819",58,"Ranked #28,819",2.2 | pDev: 44.09%,2.2,44.09%,46,66,Active,"Dec 10, 2009"
Pale Ale,New Planet Beer Company,"Colorado, United States","American Pale AleRanked #1,135",American Pale Ale,"Ranked #1,135", 6.4%,"58Ranked #28,818",58,"Ranked #28,818",2.13 | pDev: 38.03%,2.13,38.03%,10,50,Active,"Dec 07, 2013"
Old Milwaukee Beer,Pabst Brewing Company,"Texas, United States",American Adjunct LagerRanked #278,American Adjunct Lager,Ranked #278, 4.6%,"58Ranked #28,817",58,"Ranked #28,817",2.41 | pDev: 34.44%,2.41,34.44%,308,907,Active,"Aug 25, 2001"
Four O Street Legal Malt Liquor,Copper Mountain Beverage Company,"Wisconsin, United States",Malt LiquorRanked #50,Malt Liquor,Ranked #50, 10%,"58Ranked #28,816",58,"Ranked #28,816",1.87 | pDev: 29.95%,1.87,29.95%,22,26,Active,"Jun 28, 2009"
Steel Reserve 211 (High Gravity),Miller Brewing Co.,"Wisconsin, United States",Malt LiquorRanked #31,Malt Liquor,Ranked #31, 8.1%,"58Ranked #28,815",58,"Ranked #28,815",2.43 | pDev: 37.86%,2.43,37.86%,672,"1,433",Active,"Sep 13, 2001"
Cantina,World Brews,"California, United States",American Adjunct LagerRanked #296,American Adjunct Lager,Ranked #296, 4.6%,"58Ranked #28,814",58,"Ranked #28,814",2.08 | pDev: 30.77%,2.08,30.77%,30,40,Active,"Oct 06, 2004"
Milwaukee Special Reserve Ice,Melanie Brewing Company,"Wisconsin, United States",American Adjunct LagerRanked #295,American Adjunct Lager,Ranked #295, 5.9%,"58Ranked #28,813",58,"Ranked #28,813",2.08 | pDev: 41.35%,2.08,41.35%,21,40,Active,"Mar 27, 2003"
Brahma,Companhia Cervejaria Brahma,Brazil,American Adjunct LagerRanked #280,American Adjunct Lager,Ranked #280, 4.6%,"58Ranked #28,812",58,"Ranked #28,812",2.39 | pDev: 26.78%,2.39,26.78%,106,272,Active,"Apr 28, 2005"
Faxe Extra Strong,Royal Unibrew A/S,Denmark,European Strong LagerRanked #55,European Strong Lager,Ranked #55, 10%,"59Ranked #28,811",59,"Ranked #28,811",2.35 | pDev: 31.91%,2.35,31.91%,61,137,Active,"Jan 04, 2002"
St. Pauli N. A.,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.,Germany,Low-Alcohol BeerRanked #123,Low-Alcohol Beer,Ranked #123, 0.5%,"59Ranked #28,810",59,"Ranked #28,810",2.38 | pDev: 33.19%,2.38,33.19%,93,185,Active,"Jun 05, 2001"
Skol,Cervejarias Reunidas Skol-Caracu,Brazil,American Adjunct LagerRanked #284,American Adjunct Lager,Ranked #284, 4.7%,"59Ranked #28,809",59,"Ranked #28,809",2.36 | pDev: 25%,2.36,25%,57,142,Active,"Jan 19, 2003"
Pabst Blue Ribbon (Canada),Sleeman Breweries Ltd.,"Ontario, Canada",American Adjunct LagerRanked #285,American Adjunct Lager,Ranked #285, 4.9%,"59Ranked #28,808",59,"Ranked #28,808",2.34 | pDev: 31.62%,2.34,31.62%,14,116,Active,"Dec 27, 2011"
OB Lager Beer,"Oriental Brewery Co., Ltd",Korea (South),American Adjunct LagerRanked #282,American Adjunct Lager,Ranked #282, 4.5%,"59Ranked #28,807",59,"Ranked #28,807",2.36 | pDev: 27.54%,2.36,27.54%,66,134,Active,"Feb 12, 2002"
Michelob Golden Draft Light,Anheuser-Busch,"Missouri, United States",Light LagerRanked #142,Light Lager,Ranked #142, 4.1%,"59Ranked #28,806",59,"Ranked #28,806",2.43 | pDev: 34.98%,2.43,34.98%,122,340,Active,"Jan 24, 2002"
Camo 900 High Gravity Lager,Camo Brewing Company,"Nevada, United States",Malt LiquorRanked #51,Malt Liquor,Ranked #51, 10.5%,"59Ranked #28,805",59,"Ranked #28,805",1.69 | pDev: 31.95%,1.69,31.95%,12,18,Active,"Jun 04, 2005"
Amstel Light,Amstel Brouwerij B. V.,Netherlands,Light LagerRanked #135,Light Lager,Ranked #135, 3.5%,"59Ranked #28,804",59,"Ranked #28,804",2.47 | pDev: 27.53%,2.47,27.53%,538,"1,670",Active,"Feb 07, 2001"
Max,Hite Brewery Company LTD,Korea (South),American Adjunct LagerRanked #292,American Adjunct Lager,Ranked #292, 4.5%,"59Ranked #28,803",59,"Ranked #28,803",2.15 | pDev: 30.23%,2.15,30.23%,8,43,Active,"Jan 17, 2012"
Schlitz Bull Ice I.M.L.,Pabst Brewing Company,"Texas, United States",Malt LiquorRanked #37,Malt Liquor,Ranked #37, 8.2%,"59Ranked #28,802",59,"Ranked #28,802",2.3 | pDev: 43.48%,2.3,43.48%,55,77,Active,"Jul 27, 2002"
Famosa (Gallo),"Cervecería Centro Americana, S.A.",Guatemala,American Adjunct LagerRanked #272,American Adjunct Lager,Ranked #272, 5%,"59Ranked #28,801",59,"Ranked #28,801",2.44 | pDev: 27.46%,2.44,27.46%,167,313,Active,"Aug 05, 2002"
Victoria Bitter (VB),"Carlton & United Breweries, Ltd.",Australia,American Adjunct LagerRanked #271,American Adjunct Lager,Ranked #271, 4.9%,"59Ranked #28,800",59,"Ranked #28,800",2.45 | pDev: 33.47%,2.45,33.47%,160,356,Active,"Feb 16, 2002"
Carlton Midstrength,"Carlton & United Breweries, Ltd.",Australia,Light LagerRanked #149,Light Lager,Ranked #149, 3%,"59Ranked #28,799",59,"Ranked #28,799",2.15 | pDev: 33.95%,2.15,33.95%,22,41,Active,"Aug 20, 2002"
Sol,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",Mexico,American Adjunct LagerRanked #262,American Adjunct Lager,Ranked #262, 4.5%,"59Ranked #28,798",59,"Ranked #28,798",2.49 | pDev: 27.31%,2.49,27.31%,450,"1,584",Active,"Feb 18, 2002"
Budweiser 66,Anheuser-Busch,"Missouri, United States",Light LagerRanked #157,Light Lager,Ranked #157, 4%,"60Ranked #28,797",60,"Ranked #28,797",1.7 | pDev: 25.29%,1.7,25.29%,4,17,Active,"Nov 21, 2010"
Molson Canadian 6.0 Cold Shots,Molson Coors Canada,"Ontario, Canada",American Adjunct LagerRanked #281,American Adjunct Lager,Ranked #281, 6%,"60Ranked #28,796",60,"Ranked #28,796",2.34 | pDev: 30.34%,2.34,30.34%,30,80,Active,"May 09, 2004"
Icehouse Edge,Miller Brewing Co.,"Wisconsin, United States",Malt LiquorRanked #30,Malt Liquor,Ranked #30, 8%,"60Ranked #28,795",60,"Ranked #28,795",2.44 | pDev: 32.38%,2.44,32.38%,81,188,Active,"Jul 30, 2012"
Cass Fresh,"Oriental Brewery Co., Ltd",Korea (South),American Adjunct LagerRanked #269,American Adjunct Lager,Ranked #269, 4.5%,"60Ranked #28,794",60,"Ranked #28,794",2.45 | pDev: 28.16%,2.45,28.16%,60,208,Active,"Mar 01, 2003"
Hurricane High Gravity,Anheuser-Busch,"Missouri, United States",Malt LiquorRanked #29,Malt Liquor,Ranked #29, 8.1%,"60Ranked #28,793",60,"Ranked #28,793",2.49 | pDev: 36.14%,2.49,36.14%,216,421,Active,"Jul 28, 2005"
Bud Light Lime Cran-Brrr-Rita,Anheuser-Busch,"Missouri, United States",Malt LiquorRanked #32,Malt Liquor,Ranked #32, 8%,"60Ranked #28,792",60,"Ranked #28,792",2.39 | pDev: 31.38%,2.39,31.38%,25,103,Active,"Nov 09, 2013"
Michelob Honey Lager,Anheuser-Busch,"Missouri, United States",American Amber / Red LagerRanked #93,American Amber / Red Lager,Ranked #93, 4.9%,"60Ranked #28,791",60,"Ranked #28,791",2.47 | pDev: 29.96%,2.47,29.96%,143,240,Active,"Jan 01, 2002"
Carling Beer,Molson Coors Canada,"Ontario, Canada",American Adjunct LagerRanked #275,American Adjunct Lager,Ranked #275, 4%,"60Ranked #28,790",60,"Ranked #28,790",2.38 | pDev: 28.57%,2.38,28.57%,33,90,Active,"Jan 29, 2003"
Natty Daddy (8%),Anheuser-Busch,"Missouri, United States",Malt LiquorRanked #27,Malt Liquor,Ranked #27, 8%,"60Ranked #28,789",60,"Ranked #28,789",2.5 | pDev: 37.2%,2.5,37.2%,192,420,Active,"Sep 18, 2011"
Molson Dry,Molson Coors Canada,"Ontario, Canada",American Adjunct LagerRanked #265,American Adjunct Lager,Ranked #265, 5.5%,"60Ranked #28,788",60,"Ranked #28,788",2.46 | pDev: 26.42%,2.46,26.42%,55,180,Active,"Feb 15, 2003"
Michelob Ultra Infusions Lime & Prickly Pear Cactus,Anheuser-Busch,"Missouri, United States",Light LagerRanked #131,Light Lager,Ranked #131, 4%,"60Ranked #28,787",60,"Ranked #28,787",2.5 | pDev: 32.8%,2.5,32.8%,151,345,Active,"May 13, 2007"
Genny Light,Genesee Brewing Co. / Dundee Brewing Co.,"New York, United States",Light LagerRanked #133,Light Lager,Ranked #133, 4%,"60Ranked #28,786",60,"Ranked #28,786",2.49 | pDev: 30.92%,2.49,30.92%,98,272,Active,"Sep 17, 2001"
Blonde Ale,New Planet Beer Company,"Colorado, United States",American Blonde AleRanked #384,American Blonde Ale,Ranked #384, 5%,"60Ranked #28,785",60,"Ranked #28,785",2 | pDev: 44%,2,44%,12,25,Active,"Jul 27, 2014"
Lone Star Light,Pabst Brewing Company,"Texas, United States",Light LagerRanked #138,Light Lager,Ranked #138, 3.85%,"60Ranked #28,784",60,"Ranked #28,784",2.41 | pDev: 31.12%,2.41,31.12%,32,101,Active,"Nov 02, 2002"
Molson Ice,Molson Coors Canada,"Ontario, Canada",American Adjunct LagerRanked #252,American Adjunct Lager,Ranked #252, 5.6%,"60Ranked #28,783",60,"Ranked #28,783",2.52 | pDev: 27.38%,2.52,27.38%,190,534,Active,"Oct 03, 2001"
Extra Dry,Tooheys Brewing,Australia,American Adjunct LagerRanked #274,American Adjunct Lager,Ranked #274, 4.4%,"61Ranked #28,782",61,"Ranked #28,782",2.38 | pDev: 29.83%,2.38,29.83%,32,79,Active,"May 08, 2002"
