name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Saku Estonian Porter,Saku Brewery LTD,Estonia,Baltic PorterRanked #146,Baltic Porter,Ranked #146, 7.5%,"81Ranked #25,739",81,"Ranked #25,739",3.55 | pDev: 15.77%,3.55,15.77%,49,71,Active,"Jul 10, 2002"
Cozy,Tree House Brewing Company,"Massachusetts, United States",Baltic PorterRanked #18,Baltic Porter,Ranked #18, 9.2%,"93Ranked #3,177",93,"Ranked #3,177",4.23 | pDev: 5.44%,4.23,5.44%,25,71,Active,"Jan 12, 2021"
Old Mad Joy,Great Raft Brewing,"Louisiana, United States",Baltic PorterRanked #20,Baltic Porter,Ranked #20, 8%,"93Ranked #3,481",93,"Ranked #3,481",4.22 | pDev: 8.06%,4.22,8.06%,17,66,Active,"Jan 21, 2015"
Karl Strauss Parrot In A Palm Tree Holiday Baltic Porter,Karl Strauss Brewing Company,"California, United States",Baltic Porter,Baltic Porter,Na, 8.5%,88,88,Na,3.93 | pDev: 12.47%,3.93,12.47%,40,65,Active,"Nov 05, 2010"
Baltic Sunrise,Hardywood Park Craft Brewery,"Virginia, United States",Baltic PorterRanked #82,Baltic Porter,Ranked #82, 9.1%,"90Ranked #10,542",90,"Ranked #10,542",4.02 | pDev: 6.72%,4.02,6.72%,25,65,Active,"May 15, 2017"
Cassiopeia,Grimm Artisanal Ales,"New York, United States",Baltic Porter,Baltic Porter,Na, 10%,87,87,Na,3.9 | pDev: 6.15%,3.9,6.15%,12,64,Active,"Dec 12, 2013"
Baltic Porter,Dovetail Brewery,"Illinois, United States",Baltic PorterRanked #37,Baltic Porter,Ranked #37, 6.6%,"91Ranked #6,188",91,"Ranked #6,188",4.13 | pDev: 5.57%,4.13,5.57%,27,64,Active,"Feb 21, 2020"
Winterloper,Bauhaus Brew Labs,"Minnesota, United States",Baltic PorterRanked #109,Baltic Porter,Ranked #109, 8%,"88Ranked #14,496",88,"Ranked #14,496",3.93 | pDev: 7.89%,3.93,7.89%,15,61,Active,"Nov 22, 2014"
Pardubice Porter Special,Pardubický pivovar a.s.,Czechia,Baltic PorterRanked #123,Baltic Porter,Ranked #123, 8%,"87Ranked #16,560",87,"Ranked #16,560",3.88 | pDev: 9.02%,3.88,9.02%,30,61,Active,"Feb 20, 2004"
Tomislav Crno Pivo,Zagrebačka Pivovara,Croatia (Hrvatska),Baltic PorterRanked #139,Baltic Porter,Ranked #139, 7.3%,"84Ranked #23,048",84,"Ranked #23,048",3.69 | pDev: 13.82%,3.69,13.82%,18,59,Active,"May 23, 2008"
Global Mutt,Wander Brewing,"Washington, United States",Baltic PorterRanked #114,Baltic Porter,Ranked #114, 7%,"88Ranked #15,410",88,"Ranked #15,410",3.91 | pDev: 8.95%,3.91,8.95%,21,58,Active,"Apr 22, 2014"
Seasonal Relief,Coppertail Brewing Co.,"Florida, United States",Baltic Porter,Baltic Porter,Na, 6.5%,87,87,Na,3.9 | pDev: 10%,3.9,10%,9,58,Active,"Dec 28, 2014"
Porter,Okanagan Spring Brewery,"British Columbia, Canada",Baltic PorterRanked #138,Baltic Porter,Ranked #138, 8.5%,"84Ranked #22,272",84,"Ranked #22,272",3.72 | pDev: 11.29%,3.72,11.29%,32,57,Active,"Jan 28, 2003"
Just Tapped - Baltic Porter,Deschutes Brewery,"Oregon, United States",Baltic Porter,Baltic Porter,Na, 8%,87,87,Na,3.9 | pDev: 8.21%,3.9,8.21%,22,56,Active,"Aug 20, 2018"
Baltic Porter,Capital Brewery,"Wisconsin, United States",Baltic Porter,Baltic Porter,Na, 8.5%,82,82,Na,3.59 | pDev: 9.47%,3.59,9.47%,48,55,Active,"Feb 06, 2008"
Baltic Argonaut,Warped Wing Brewing Company,"Ohio, United States",Baltic Porter,Baltic Porter,Na, 11.5%,92,92,Na,4.15 | pDev: 7.47%,4.15,7.47%,11,54,Active,"Jan 26, 2015"
Ulfberht Baltic Porter,Burial Beer Co.,"North Carolina, United States",Baltic PorterRanked #93,Baltic Porter,Ranked #93, 9%,"89Ranked #11,933",89,"Ranked #11,933",3.99 | pDev: 5.76%,3.99,5.76%,9,54,Active,"Mar 22, 2014"
X Porter,Midtfyns Bryghus,Denmark,Baltic Porter,Baltic Porter,Na, 8%,88,88,Na,3.92 | pDev: 8.42%,3.92,8.42%,24,53,Active,"Oct 13, 2010"
God Of Thunder Baltic Porter,Tenaya Creek Brewery,"Nevada, United States",Baltic PorterRanked #112,Baltic Porter,Ranked #112, 9%,"88Ranked #15,438",88,"Ranked #15,438",3.91 | pDev: 7.93%,3.91,7.93%,13,52,Active,"Oct 08, 2013"
"""Admiral"" Stash",Milwaukee Brewing Company,"Wisconsin, United States",Baltic Porter,Baltic Porter,Na, 7%,84,84,Na,3.67 | pDev: 14.17%,3.67,14.17%,10,51,Active,"Mar 24, 2012"
Le Baron Noir,Le Trou Du Diable,"Quebec, Canada",Baltic Porter,Baltic Porter,Na, 7%,86,86,Na,3.8 | pDev: 8.16%,3.8,8.16%,15,51,Active,"Aug 23, 2007"
Baltic Porter,Bell's Brewery - Eccentric Café & General Store,"Michigan, United States",Baltic PorterRanked #125,Baltic Porter,Ranked #125, 9.1%,"87Ranked #16,976",87,"Ranked #16,976",3.87 | pDev: 7.49%,3.87,7.49%,4,50,Active,"Apr 25, 2008"
Barrel-Aged Framinghammer - S'mores,Jack's Abby Brewing,"Massachusetts, United States",Baltic PorterRanked #22,Baltic Porter,Ranked #22, 12%,"93Ranked #4,071",93,"Ranked #4,071",4.21 | pDev: 5.94%,4.21,5.94%,11,50,Active,"Dec 17, 2018"
King Royal,Tired Hands Brewing Company,"Pennsylvania, United States",Baltic PorterRanked #55,Baltic Porter,Ranked #55, 7%,"91Ranked #7,656",91,"Ranked #7,656",4.1 | pDev: 5.85%,4.1,5.85%,13,50,Active,"Oct 30, 2016"
Porter,Lvivska Pivovarnya (BBH),Ukraine,Baltic PorterRanked #143,Baltic Porter,Ranked #143, 8%,"82Ranked #25,372",82,"Ranked #25,372",3.56 | pDev: 18.26%,3.56,18.26%,27,50,Active,"Jul 11, 2006"
Solidarity,New Albanian Brewing Company - Pizzeria and Public House,"Indiana, United States",Baltic Porter,Baltic Porter,Na, 8.5%,80,80,Na,3.42 | pDev: 19.88%,3.42,19.88%,19,48,Active,"Jan 25, 2011"
Royal Porter A La Taza,Nómada Brewing Company,Spain,Baltic Porter,Baltic Porter,Na, 9.5%,87,87,Na,3.86 | pDev: 13.73%,3.86,13.73%,16,48,Active,"Jul 15, 2013"
Königsberg,Cigar City Brewing,"Florida, United States",Baltic Porter,Baltic Porter,Na, 11.2%,93,93,Na,4.22 | pDev: 5.21%,4.22,5.21%,8,47,Active,"Mar 04, 2018"
Pothole Porter,Half Pints Brewing Company,"Manitoba, Canada",Baltic Porter,Baltic Porter,Na, 7.9%,88,88,Na,3.95 | pDev: 8.86%,3.95,8.86%,33,47,Active,"May 11, 2008"
Riprap Baltic Porter,Barrier Brewing Company,"New York, United States",Baltic Porter,Baltic Porter,Na, 8.1%,88,88,Na,3.92 | pDev: 10.2%,3.92,10.2%,13,47,Active,"Jul 08, 2011"
Taddy Porter,Samuel Smith Old Brewery (Tadcaster),"England, United Kingdom",English PorterRanked #2,English Porter,Ranked #2, 5%,"93Ranked #3,701",93,"Ranked #3,701",4.17 | pDev: 11.27%,4.17,11.27%,"1,441","3,396",Active,"Nov 28, 2000"
London Porter,Fuller's,"England, United Kingdom",English PorterRanked #1,English Porter,Ranked #1, 5.4%,"93Ranked #3,450",93,"Ranked #3,450",4.18 | pDev: 10.29%,4.18,10.29%,"1,292","2,850",Active,"Jun 20, 2001"
Samuel Adams Holiday Porter,Boston Beer Company (Samuel Adams),"Massachusetts, United States",English PorterRanked #91,English Porter,Ranked #91, 5.8%,"84Ranked #23,035",84,"Ranked #23,035",3.72 | pDev: 12.37%,3.72,12.37%,"1,227","2,604",Active,"Oct 17, 2004"
Cutthroat,Odell Brewing Company,"Colorado, United States",English PorterRanked #7,English Porter,Ranked #7, 5%,"91Ranked #7,509",91,"Ranked #7,509",4.07 | pDev: 10.07%,4.07,10.07%,431,"1,292",Active,"May 19, 2001"
Bully! Porter,Boulevard Brewing Co.,"Missouri, United States",English PorterRanked #79,English Porter,Ranked #79, 6%,"85Ranked #21,054",85,"Ranked #21,054",3.78 | pDev: 12.7%,3.78,12.7%,543,"1,190",Active,"Aug 17, 2001"
People's Porter,Foothills Brewing Company - Downtown Brewpub,"North Carolina, United States",English PorterRanked #52,English Porter,Ranked #52, 5.8%,"87Ranked #17,681",87,"Ranked #17,681",3.86 | pDev: 10.62%,3.86,10.62%,192,923,Active,"Nov 05, 2005"
Samuel Adams Honey Porter,Boston Beer Company (Samuel Adams),"Massachusetts, United States",English PorterRanked #97,English Porter,Ranked #97, 5.45%,"83Ranked #24,250",83,"Ranked #24,250",3.67 | pDev: 13.08%,3.67,13.08%,638,919,Active,"Feb 12, 2002"
Washington's Porter,Yards Brewing Co.,"Pennsylvania, United States",English PorterRanked #67,English Porter,Ranked #67, 7%,"86Ranked #19,013",86,"Ranked #19,013",3.83 | pDev: 11.75%,3.83,11.75%,318,853,Active,"Sep 30, 2003"
Porter,Mayflower Brewing Company,"Massachusetts, United States",English PorterRanked #3,English Porter,Ranked #3, 5.2%,"93Ranked #4,090",93,"Ranked #4,090",4.16 | pDev: 9.62%,4.16,9.62%,274,802,Active,"Mar 28, 2008"
Old-Style Porter,St. Peter's Brewery Co Ltd,"England, United Kingdom",English PorterRanked #60,English Porter,Ranked #60, 5.1%,"87Ranked #18,103",87,"Ranked #18,103",3.85 | pDev: 12.73%,3.85,12.73%,395,639,Active,"Apr 16, 2002"
Coffee Porter,Meantime Brewing Company Limited,"England, United Kingdom",English PorterRanked #78,English Porter,Ranked #78, 6%,"85Ranked #21,029",85,"Ranked #21,029",3.78 | pDev: 12.7%,3.78,12.7%,413,619,Active,"Nov 24, 2004"
Zwet.Be,Brouwerij 3 Fonteinen,Belgium,English PorterRanked #46,English Porter,Ranked #46, 7%,"87Ranked #17,195",87,"Ranked #17,195",3.87 | pDev: 10.08%,3.87,10.08%,146,573,Active,"Nov 29, 2010"
Santa's Butt,Ridgeway Brewing,"England, United Kingdom",English PorterRanked #116,English Porter,Ranked #116, 6%,"78Ranked #27,290",78,"Ranked #27,290",3.4 | pDev: 14.41%,3.4,14.41%,294,509,Active,"Nov 25, 2004"
London Porter,Meantime Brewing Company Limited,"England, United Kingdom",English PorterRanked #12,English Porter,Ranked #12, 6.5%,"89Ranked #10,785",89,"Ranked #10,785",4 | pDev: 10.75%,4,10.75%,291,464,Active,"Aug 28, 2005"
