name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Dorée (Gold),Bières de Chimay,Belgium,Belgian Pale AleRanked #23,Belgian Pale Ale,Ranked #23, 4.8%,"87Ranked #16,722",87,"Ranked #16,722",3.88 | pDev: 10.57%,3.88,10.57%,221,600,Active,"Apr 28, 2002"
Brugse Zot,Brouwerij De Halve Maan,Belgium,Belgian Pale AleRanked #76,Belgian Pale Ale,Ranked #76, 6%,"84Ranked #22,946",84,"Ranked #22,946",3.72 | pDev: 12.37%,3.72,12.37%,212,593,Active,"Aug 04, 2005"
De Koninck APA (Antwaarpse Pale Ale),Brouwerij De Koninck NV,Belgium,Belgian Pale AleRanked #98,Belgian Pale Ale,Ranked #98, 5.2%,"82Ranked #25,038",82,"Ranked #25,038",3.63 | pDev: 12.95%,3.63,12.95%,330,592,Active,"Nov 26, 2000"
Taras Boulba,Brasserie de la Senne,Belgium,Belgian Pale AleRanked #24,Belgian Pale Ale,Ranked #24, 4.5%,"87Ranked #16,721",87,"Ranked #16,721",3.88 | pDev: 11.86%,3.88,11.86%,237,586,Active,"Sep 19, 2006"
The Citizen,DC Brau Brewing Co.,"District of Columbia, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 7%,80,80,Na,3.54 | pDev: 12.43%,3.54,12.43%,96,510,Active,"Jul 13, 2011"
Belgian Style Amber Ale,Dark Horse Brewing Company,"Michigan, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.5%,79,79,Na,3.47 | pDev: 15.27%,3.47,15.27%,215,484,Active,"Aug 10, 2002"
Singel,Hardywood Park Craft Brewery,"Virginia, United States",Belgian Pale AleRanked #62,Belgian Pale Ale,Ranked #62, 6.2%,"85Ranked #21,389",85,"Ranked #21,389",3.77 | pDev: 11.14%,3.77,11.14%,87,484,Active,"Oct 19, 2011"
Saint's Devotion,The Lost Abbey,"California, United States",Belgian Pale AleRanked #34,Belgian Pale Ale,Ranked #34, 6.8%,"87Ranked #17,640",87,"Ranked #17,640",3.86 | pDev: 11.14%,3.86,11.14%,120,454,Active,"Nov 26, 2008"
Extra 4,Brouwerij St. Bernardus NV,Belgium,Belgian Pale AleRanked #14,Belgian Pale Ale,Ranked #14, 4.8%,"88Ranked #13,721",88,"Ranked #13,721",3.94 | pDev: 9.39%,3.94,9.39%,108,416,Active,"Feb 05, 2014"
Cuvée Des Trolls,Brasserie Dubuisson Frères sprl,Belgium,Belgian Pale AleRanked #107,Belgian Pale Ale,Ranked #107, 7%,"81Ranked #25,667",81,"Ranked #25,667",3.59 | pDev: 13.93%,3.59,13.93%,148,407,Active,"Sep 29, 2003"
Bruegel Amber Ale,Brouwerij Van Steenberge N.V.,Belgium,Belgian Pale AleRanked #120,Belgian Pale Ale,Ranked #120, 5.2%,"79Ranked #26,697",79,"Ranked #26,697",3.49 | pDev: 14.9%,3.49,14.9%,315,402,Active,"May 02, 2002"
Jardinier,The Bruery,"California, United States",Belgian Pale AleRanked #49,Belgian Pale Ale,Ranked #49, 4.9%,"86Ranked #20,205",86,"Ranked #20,205",3.8 | pDev: 8.42%,3.8,8.42%,84,397,Active,"Jan 08, 2015"
Sixteen Counties,Allagash Brewing Company,"Maine, United States",Belgian Pale AleRanked #4,Belgian Pale Ale,Ranked #4, 6.5%,"90Ranked #8,532",90,"Ranked #8,532",4.05 | pDev: 7.65%,4.05,7.65%,81,367,Active,"Nov 08, 2014"
Hommel Bier,Perennial Artisan Ales,"Missouri, United States",Belgian Pale AleRanked #63,Belgian Pale Ale,Ranked #63, 5.9%,"85Ranked #21,345",85,"Ranked #21,345",3.77 | pDev: 9.81%,3.77,9.81%,63,360,Active,"Oct 06, 2011"
House Beer,Allagash Brewing Company,"Maine, United States",Belgian Pale AleRanked #15,Belgian Pale Ale,Ranked #15, 4.5%,"88Ranked #13,726",88,"Ranked #13,726",3.94 | pDev: 8.63%,3.94,8.63%,55,354,Active,"Oct 05, 2012"
Fatty Boombalatty,Furthermore Beer,"Wisconsin, United States",Belgian Pale AleRanked #50,Belgian Pale Ale,Ranked #50, 7.2%,"86Ranked #20,196",86,"Ranked #20,196",3.8 | pDev: 12.37%,3.8,12.37%,148,342,Active,"Apr 15, 2007"
Hoppy Table Beer,Allagash Brewing Company,"Maine, United States",Belgian Pale AleRanked #9,Belgian Pale Ale,Ranked #9, 4.8%,"90Ranked #10,421",90,"Ranked #10,421",4.01 | pDev: 6.73%,4.01,6.73%,92,327,Active,"Jun 25, 2016"
Zinnebir,Brasserie de la Senne,Belgium,Belgian Pale AleRanked #19,Belgian Pale Ale,Ranked #19, 6%,"88Ranked #15,274",88,"Ranked #15,274",3.91 | pDev: 9.97%,3.91,9.97%,115,298,Active,"Nov 24, 2005"
Hell's Belle,Big Boss Brewing,"North Carolina, United States",Belgian Pale AleRanked #114,Belgian Pale Ale,Ranked #114, 7%,"81Ranked #26,229",81,"Ranked #26,229",3.54 | pDev: 14.41%,3.54,14.41%,109,296,Active,"Feb 26, 2007"
Witkap Pater Singel / Stimulo,Brouwerij Slaghmuylder,Belgium,Belgian Pale Ale,Belgian Pale Ale,Na, 6%,84,84,Na,3.73 | pDev: 12.87%,3.73,12.87%,212,290,Active,"Feb 09, 1999"
Saranac Belgian Ale,Matt Brewing Company / Saranac Brewery,"New York, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.9%,77,77,Na,3.34 | pDev: 14.37%,3.34,14.37%,237,290,Active,"Oct 27, 2005"
It Takes A Lot Of Great Beer To Make Great Wine,Russian River Brewing Company,"California, United States",Belgian Pale AleRanked #27,Belgian Pale Ale,Ranked #27, 5.2%,"87Ranked #16,684",87,"Ranked #16,684",3.88 | pDev: 9.79%,3.88,9.79%,75,249,Active,"Aug 27, 2011"
Trappist Extra,Brouwerij Westmalle,Belgium,Belgian Pale AleRanked #6,Belgian Pale Ale,Ranked #6, 4.8%,"90Ranked #9,051",90,"Ranked #9,051",4.04 | pDev: 8.91%,4.04,8.91%,113,226,Active,"Mar 01, 2005"
It's Alright!,Mikkeller ApS,Denmark,Belgian Pale Ale,Belgian Pale Ale,Na, 4.5%,71,71,Na,3.06 | pDev: 24.18%,3.06,24.18%,135,209,Active,"Jan 28, 2009"
Antigoon By Robert Wiedmaier,The Musketeers Brouwerijcafé,Belgium,Belgian Pale Ale,Belgian Pale Ale,Na, 7%,89,89,Na,3.99 | pDev: 11.78%,3.99,11.78%,65,190,Active,"Feb 27, 2010"
Bière Du Boucanier Red,Brouwerij Van Steenberge N.V.,Belgium,Belgian Pale AleRanked #51,Belgian Pale Ale,Ranked #51, 7%,"86Ranked #20,098",86,"Ranked #20,098",3.8 | pDev: 11.32%,3.8,11.32%,119,189,Active,"Oct 09, 2004"
Fleur De Lehigh,Philadelphia Brewing Company,"Pennsylvania, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 4.5%,77,77,Na,3.34 | pDev: 20.96%,3.34,20.96%,77,189,Active,"Jun 11, 2008"
The Harlot,Societe Brewing Co.,"California, United States",Belgian Pale AleRanked #58,Belgian Pale Ale,Ranked #58, 5.6%,"85Ranked #20,874",85,"Ranked #20,874",3.78 | pDev: 10.32%,3.78,10.32%,18,187,Active,"May 22, 2012"
Joey Pepper,Evil Twin Brewing,"New York, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 7%,84,84,Na,3.69 | pDev: 11.92%,3.69,11.92%,21,186,Active,"Dec 09, 2013"
Seef Bier,Antwerpse Brouw Compagnie N.V.,Belgium,Belgian Pale AleRanked #81,Belgian Pale Ale,Ranked #81, 6.5%,"84Ranked #23,334",84,"Ranked #23,334",3.7 | pDev: 12.97%,3.7,12.97%,47,185,Active,"Jul 27, 2012"
River Trip,Allagash Brewing Company,"Maine, United States",Belgian Pale AleRanked #22,Belgian Pale Ale,Ranked #22, 4.8%,"87Ranked #15,718",87,"Ranked #15,718",3.9 | pDev: 10%,3.9,10%,74,184,Active,"Feb 14, 2019"
Levon,Omnipollo,Sweden,Belgian Pale AleRanked #30,Belgian Pale Ale,Ranked #30, 6.5%,"87Ranked #17,128",87,"Ranked #17,128",3.87 | pDev: 10.34%,3.87,10.34%,49,182,Active,"Apr 11, 2011"
Petit Ardennes,Lost Nation Brewing,"Vermont, United States",Belgian Pale AleRanked #16,Belgian Pale Ale,Ranked #16, 4.2%,"88Ranked #13,787",88,"Ranked #13,787",3.94 | pDev: 10.15%,3.94,10.15%,17,181,Active,"Jun 19, 2013"
Belgian Golden Ale,The Schlafly Tap Room,"Missouri, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 7%,84,84,Na,3.71 | pDev: 12.13%,3.71,12.13%,36,180,Active,"Mar 31, 2013"
Monks' Ale,Abbey Brewing Co. (Monastery Of Christ In The Desert),"New Mexico, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.1%,80,80,Na,3.5 | pDev: 12.86%,3.5,12.86%,82,173,Active,"Apr 25, 2007"
Birdhouse Pale Ale,The Brewer's Art,"Maryland, United States",Belgian Pale AleRanked #59,Belgian Pale Ale,Ranked #59, 5%,"85Ranked #20,853",85,"Ranked #20,853",3.78 | pDev: 9.79%,3.78,9.79%,37,161,Active,"Sep 17, 2003"
Sho' Nuff,Against The Grain Brewery & Smokehouse,"Kentucky, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 4.9%,79,79,Na,3.46 | pDev: 12.72%,3.46,12.72%,39,161,Active,"May 28, 2015"
Belgian Style Pale Ale,Upslope Brewing Company - Lee Hill,"Colorado, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 7.5%,84,84,Na,3.73 | pDev: 10.99%,3.73,10.99%,30,155,Active,"Apr 28, 2012"
Jersey Summer Breakfast Ale,Cricket Hill Brewing Co.,"New Jersey, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.5%,79,79,Na,3.42 | pDev: 15.79%,3.42,15.79%,58,147,Active,"Jun 04, 2007"
Soul Shine,Starr Hill Brewery,"Virginia, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.2%,82,82,Na,3.63 | pDev: 11.02%,3.63,11.02%,17,147,Active,"Apr 21, 2014"
La Rullés Estivale (Bière De Gaume),Brasserie Artisanale De Rulles SPRL,Belgium,Belgian Pale AleRanked #39,Belgian Pale Ale,Ranked #39, 5.2%,"87Ranked #17,992",87,"Ranked #17,992",3.85 | pDev: 11.95%,3.85,11.95%,86,147,Active,"Mar 19, 2006"
Magic Beaver,Lickinghole Creek Craft Brewery,"Virginia, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.5%,83,83,Na,3.65 | pDev: 13.15%,3.65,13.15%,30,147,Active,"Oct 22, 2013"
Flat Earth Belgian-Style Pale Ale,St. Paul Brewing,"Minnesota, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.2%,84,84,Na,3.74 | pDev: 13.64%,3.74,13.64%,98,145,Active,"Feb 19, 2007"
X-Mas Zinnebir,Brasserie de la Senne,Belgium,Belgian Pale AleRanked #65,Belgian Pale Ale,Ranked #65, 6.5%,"85Ranked #21,178",85,"Ranked #21,178",3.77 | pDev: 13.26%,3.77,13.26%,96,145,Active,"Dec 10, 2007"
Hva Såå!?,Mikkeller ApS,Denmark,Belgian Pale Ale,Belgian Pale Ale,Na, 7.6%,86,86,Na,3.8 | pDev: 11.05%,3.8,11.05%,39,144,Active,"Jun 22, 2013"
Triporteur From Heaven,BOMBrewery,Belgium,Belgian Pale AleRanked #42,Belgian Pale Ale,Ranked #42, 6.2%,"86Ranked #18,418",86,"Ranked #18,418",3.84 | pDev: 9.38%,3.84,9.38%,34,143,Active,"Mar 15, 2013"
Douze,BFM (Brasserie des Franches-Montagnes),Switzerland,Belgian Pale AleRanked #21,Belgian Pale Ale,Ranked #21, 6.5%,"88Ranked #15,318",88,"Ranked #15,318",3.91 | pDev: 9.46%,3.91,9.46%,44,138,Active,"Jul 05, 2010"
California Ale,Telegraph Brewing Company,"California, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 6.2%,82,82,Na,3.6 | pDev: 15.56%,3.6,15.56%,66,135,Active,"Mar 15, 2006"
La Trappe Puur,Bierbrouwerij De Koningshoeven B.V.,Netherlands,Belgian Pale AleRanked #80,Belgian Pale Ale,Ranked #80, 4.7%,"84Ranked #23,206",84,"Ranked #23,206",3.7 | pDev: 11.08%,3.7,11.08%,37,127,Active,"Aug 16, 2010"
P2,Penrose Brewing,"Illinois, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.4%,86,86,Na,3.81 | pDev: 8.4%,3.81,8.4%,7,124,Active,"Feb 25, 2014"
The Rose,The Black Abbey Brewing Company,"Tennessee, United States",Belgian Pale AleRanked #71,Belgian Pale Ale,Ranked #71, 5.8%,"85Ranked #22,095",85,"Ranked #22,095",3.74 | pDev: 11.5%,3.74,11.5%,24,122,Active,"Dec 28, 2013"
Triton Sin Bin Ale,Triton Brewing Company,"Indiana, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 6.2%,74,74,Na,3.19 | pDev: 20.69%,3.19,20.69%,20,117,Active,"Nov 14, 2012"
Fiction,Rhinegeist Brewery,"Ohio, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 6%,85,85,Na,3.79 | pDev: 7.92%,3.79,7.92%,19,112,Active,"Aug 28, 2013"
Saint Druon De Sebourg (French Abbey Ale),Brasserie Duyck,France,Belgian Pale Ale,Belgian Pale Ale,Na, 6%,78,78,Na,3.4 | pDev: 13.82%,3.4,13.82%,94,107,Active,"Dec 08, 2002"
Mellow Monks,Weyerbacher Brewing Co.,"Pennsylvania, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 4.5%,84,84,Na,3.71 | pDev: 8.36%,3.71,8.36%,41,106,Active,"Jul 23, 2016"
Exit 6 Wallonian Rye,Flying Fish Brewing Company,"New Jersey, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 7.5%,86,86,Na,3.82 | pDev: 12.83%,3.82,12.83%,62,100,Active,"Jun 13, 2010"
Belgian Congo Pale Ale,Devils Backbone Brewing Company,"Virginia, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 6.8%,85,85,Na,3.76 | pDev: 10.64%,3.76,10.64%,30,100,Active,"Apr 18, 2009"
AMA Bionda,Amarcord Birra Artigianale Italiana,Italy,Belgian Pale AleRanked #91,Belgian Pale Ale,Ranked #91, 6%,"83Ranked #24,024",83,"Ranked #24,024",3.66 | pDev: 11.75%,3.66,11.75%,22,94,Active,"Dec 06, 2011"
Golden One,Anthem Brewing Company,"Oklahoma, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 6.8%,82,82,Na,3.61 | pDev: 14.4%,3.61,14.4%,13,91,Active,"Oct 20, 2013"
Bokrijks Kruikenbier,Brouwerij Sterkens N.V.,Belgium,Belgian Pale AleRanked #20,Belgian Pale Ale,Ranked #20, 6.7%,"88Ranked #14,891",88,"Ranked #14,891",3.92 | pDev: 11.22%,3.92,11.22%,61,90,Active,"Sep 23, 2000"
Belgian Pale Ale,The Bronx Brewery,"New York, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 6.7%,84,84,Na,3.7 | pDev: 12.43%,3.7,12.43%,22,86,Active,"Apr 14, 2013"
Sunshine And Hoppiness,Drop-In Brewing Company,"Vermont, United States",Belgian Pale AleRanked #87,Belgian Pale Ale,Ranked #87, 5.1%,"83Ranked #23,752",83,"Ranked #23,752",3.67 | pDev: 11.72%,3.67,11.72%,15,85,Active,"Oct 07, 2012"
Hoppenbier,Jopen Bier BV Haarlem,Netherlands,Belgian Pale Ale,Belgian Pale Ale,Na, 6.8%,85,85,Na,3.76 | pDev: 9.57%,3.76,9.57%,24,83,Active,"Nov 30, 2006"
Newlin's Original Belgian Oatmeal Pale,Haw River Farmhouse Ales,"North Carolina, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.4%,88,88,Na,3.94 | pDev: 7.11%,3.94,7.11%,13,82,Active,"Aug 14, 2014"
Wolf 7,Brouwerij Wolf,Belgium,Belgian Pale Ale,Belgian Pale Ale,Na, 7.4%,86,86,Na,3.84 | pDev: 9.9%,3.84,9.9%,18,81,Active,"May 13, 2010"
1897,Stanley Park Brewing,"British Columbia, Canada",Belgian Pale AleRanked #128,Belgian Pale Ale,Ranked #128, 5.1%,"76Ranked #27,565",76,"Ranked #27,565",3.28 | pDev: 13.41%,3.28,13.41%,22,80,Active,"Jan 11, 2010"
Golden Ox,Old Ox Brewery,"Virginia, United States",Belgian Pale AleRanked #104,Belgian Pale Ale,Ranked #104, 6.5%,"82Ranked #25,230",82,"Ranked #25,230",3.59 | pDev: 11.98%,3.59,11.98%,20,80,Active,"Jul 11, 2014"
Proto Gradus,Penrose Brewing,"Illinois, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 4%,84,84,Na,3.71 | pDev: 11.05%,3.71,11.05%,6,78,Active,"Feb 25, 2014"
Ginger Man Ale,Captain Lawrence Brewing Co.,"New York, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.75%,83,83,Na,3.63 | pDev: 12.12%,3.63,12.12%,26,78,Active,"Sep 26, 2008"
Sons Of Ben Rowdy Style Ale,Yards Brewing Co.,"Pennsylvania, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5%,83,83,Na,3.67 | pDev: 13.62%,3.67,13.62%,17,77,Active,"May 03, 2014"
Oubliette,Solemn Oath Brewery,"Illinois, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 6%,82,82,Na,3.59 | pDev: 13.93%,3.59,13.93%,6,76,Active,"May 17, 2012"
Flacatoune,Microbrasserie Charlevoix,"Quebec, Canada",Belgian Pale AleRanked #48,Belgian Pale Ale,Ranked #48, 7%,"86Ranked #19,523",86,"Ranked #19,523",3.81 | pDev: 10.24%,3.81,10.24%,28,75,Active,"Sep 20, 2009"
Okie Matilda,Birra Toccalmatto,Italy,Belgian Pale AleRanked #47,Belgian Pale Ale,Ranked #47, 6.2%,"86Ranked #19,082",86,"Ranked #19,082",3.82 | pDev: 10.99%,3.82,10.99%,13,71,Active,"Apr 16, 2014"
Patriarch,Idle Hands Craft Ales,"Massachusetts, United States",Belgian Pale AleRanked #36,Belgian Pale Ale,Ranked #36, 4.8%,"87Ranked #17,029",87,"Ranked #17,029",3.87 | pDev: 6.72%,3.87,6.72%,8,71,Active,"Nov 02, 2011"
Trader Joe's Audaciter,Trader Joe's Brewing Company,"California, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 7.5%,89,89,Na,3.96 | pDev: 7.07%,3.96,7.07%,34,69,Active,"Oct 21, 2017"
Punk Rock For Rich Kids,Solemn Oath Brewery,"Illinois, United States",Belgian Pale AleRanked #32,Belgian Pale Ale,Ranked #32, 5.5%,"87Ranked #16,575",87,"Ranked #16,575",3.88 | pDev: 7.22%,3.88,7.22%,8,69,Active,"Aug 09, 2014"
Nazionale,Birra Baladin,Italy,Belgian Pale AleRanked #73,Belgian Pale Ale,Ranked #73, 6.5%,"85Ranked #22,119",85,"Ranked #22,119",3.73 | pDev: 10.46%,3.73,10.46%,23,69,Active,"Nov 25, 2011"
Kasteel Hoppy,Brouwerij Van Honsebrouck N.V.,Belgium,Belgian Pale AleRanked #127,Belgian Pale Ale,Ranked #127, 6.5%,"78Ranked #27,287",78,"Ranked #27,287",3.34 | pDev: 15.27%,3.34,15.27%,21,69,Active,"Jun 25, 2013"
Mad Belgian,Mad River Brewing Company,"California, United States",Belgian Pale AleRanked #124,Belgian Pale Ale,Ranked #124, 6.5%,"79Ranked #26,900",79,"Ranked #26,900",3.41 | pDev: 13.2%,3.41,13.2%,47,65,Active,"Aug 09, 2009"
CrAbbey Ale,Victory Brewing Company - Downingtown,"Pennsylvania, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.2%,83,83,Na,3.64 | pDev: 9.62%,3.64,9.62%,9,64,Active,"Sep 04, 2013"
Noblesse,Brouwerij De Dochter van de Korenaar,Belgium,Belgian Pale Ale,Belgian Pale Ale,Na, 5.5%,83,83,Na,3.65 | pDev: 14.52%,3.65,14.52%,34,64,Active,"May 03, 2008"
Eisenbahn S.A.P.A. (South American Pale Ale),Cervejaria Sudbrack Ltda,Brazil,Belgian Pale Ale,Belgian Pale Ale,Na, 5.1%,78,78,Na,3.35 | pDev: 18.81%,3.35,18.81%,53,63,Active,"Nov 24, 2006"
Silvius,Boom Island Brewing Company,"Minnesota, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.5%,82,82,Na,3.57 | pDev: 12.32%,3.57,12.32%,14,62,Active,"Jan 12, 2012"
Petite Orval,Brasserie d'Orval S.A.,Belgium,Belgian Pale AleRanked #3,Belgian Pale Ale,Ranked #3, 3.5%,"91Ranked #6,670",91,"Ranked #6,670",4.12 | pDev: 13.35%,4.12,13.35%,27,60,Active,"Apr 28, 2002"
B.P.A.,Aardwolf Brewing Company,"Florida, United States",Belgian Pale AleRanked #13,Belgian Pale Ale,Ranked #13, 5.9%,"89Ranked #12,284",89,"Ranked #12,284",3.98 | pDev: 8.04%,3.98,8.04%,12,60,Active,"Sep 09, 2013"
Love Knife,Short's Brewing Company,"Michigan, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 6.7%,86,86,Na,3.8 | pDev: 7.63%,3.8,7.63%,14,60,Active,"Sep 17, 2013"
Cheeky Monkey,Chaos Mountain Brewing,"Virginia, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.3%,81,81,Na,3.53 | pDev: 11.61%,3.53,11.61%,10,59,Active,"May 19, 2014"
Oro De Calabaza,Jolly Pumpkin Artisan Ales,"Michigan, United States",Bière de GardeRanked #5,Bière de Garde,Ranked #5, 8%,"92Ranked #5,769",92,"Ranked #5,769",4.11 | pDev: 9.98%,4.11,9.98%,773,"1,906",Active,"Jul 28, 2004"
Domaine DuPage French Style Country Ale,Two Brothers Brewing Company,"Illinois, United States",Bière de GardeRanked #42,Bière de Garde,Ranked #42, 6.2%,"86Ranked #19,505",86,"Ranked #19,505",3.82 | pDev: 12.04%,3.82,12.04%,564,"1,610",Active,"May 15, 2002"
Gift Of The Magi,The Lost Abbey,"California, United States",Bière de GardeRanked #41,Bière de Garde,Ranked #41, 12%,"86Ranked #19,454",86,"Ranked #19,454",3.82 | pDev: 11.52%,3.82,11.52%,321,758,Active,"Jun 10, 2007"
Avant Garde,The Lost Abbey,"California, United States",Bière de GardeRanked #48,Bière de Garde,Ranked #48, 7%,"85Ranked #20,681",85,"Ranked #20,681",3.79 | pDev: 9.76%,3.79,9.76%,351,731,Active,"May 12, 2006"
Bière De Mars,Jolly Pumpkin Artisan Ales,"Michigan, United States",Bière de GardeRanked #3,Bière de Garde,Ranked #3, 7%,"92Ranked #4,766",92,"Ranked #4,766",4.14 | pDev: 8.7%,4.14,8.7%,234,726,Active,"Aug 05, 2005"
"Fuego Del Otono, Autumn Fire",Jolly Pumpkin Artisan Ales,"Michigan, United States",Bière de GardeRanked #11,Bière de Garde,Ranked #11, 6.1%,"90Ranked #8,905",90,"Ranked #8,905",4.04 | pDev: 10.15%,4.04,10.15%,250,725,Active,"Dec 28, 2005"
Biere De Norma,Hill Farmstead Brewery,"Vermont, United States",Bière de GardeRanked #1,Bière de Garde,Ranked #1, 7%,97Ranked #515,97,Ranked #515,4.4 | pDev: 7.5%,4.4,7.5%,80,659,Active,"Jan 12, 2012"
Perdition,Russian River Brewing Company,"California, United States",Bière de GardeRanked #20,Bière de Garde,Ranked #20, 6.1%,"89Ranked #12,735",89,"Ranked #12,735",3.96 | pDev: 10.35%,3.96,10.35%,186,655,Active,"May 09, 2004"
3 MONTS (Originale),Brasserie 3 MONTS,France,Bière de GardeRanked #23,Bière de Garde,Ranked #23, 8.5%,"88Ranked #14,212",88,"Ranked #14,212",3.93 | pDev: 12.98%,3.93,12.98%,304,529,Active,"Aug 20, 2001"
Gavroche,Brasserie 3 MONTS,France,Bière de GardeRanked #47,Bière de Garde,Ranked #47, 8.5%,"85Ranked #20,637",85,"Ranked #20,637",3.79 | pDev: 12.4%,3.79,12.4%,248,468,Active,"Jan 07, 2001"
Biere De Mars,Southampton Publick House,"New York, United States",Bière de Garde,Bière de Garde,Na, 6.5%,85,85,Na,3.76 | pDev: 12.23%,3.76,12.23%,225,396,Active,"Mar 25, 2004"
